id,year,months,state,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct
1,2015.0,January-March,Alabama,7000.0,1800.0,26.0,2800.0,250.0,4.0
2,2015.0,January-March,Arizona,35000.0,4600.0,13.0,3400.0,2100.0,6.0
3,2015.0,January-March,Arkansas,14000.0,1500.0,11.0,1200.0,90.0,1.0
4,2015.0,January-March,California,1690000.0,255000.0,15.0,250000.0,124000.0,7.0
5,2015.0,January-March,Colorado,12500.0,1500.0,12.0,200.0,140.0,1.0
6,,,,,,,,,
7,2015.0,January-March,Florida,315000.0,42000.0,13.0,54000.0,25000.0,8.0
8,2015.0,January-March,Georgia,105000.0,14500.0,14.0,47000.0,9500.0,9.0
9,2015.0,January-March,Hawaii,10500.0,380.0,4.0,3400.0,760.0,7.0
10,2015.0,January-March,Idaho,88000.0,3700.0,4.0,2600.0,8000.0,9.0
11,2015.0,January-March,Illinois,10500.0,4200.0,40.0,2300.0,390.0,4.0
12,2015.0,January-March,Indiana,9500.0,2100.0,22.0,490.0,120.0,1.0
13,2015.0,January-March,Iowa,17500.0,3100.0,18.0,1700.0,270.0,2.0
14,2015.0,January-March,Kansas,7000.0,1600.0,23.0,450.0,70.0,1.0
15,,,,,,,,,
16,2015.0,January-March,Louisiana,51000.0,8000.0,16.0,3100.0,6500.0,13.0
17,,,,,,,,,
18,2015.0,January-March,Maryland,10000.0,4100.0,41.0,1600.0,870.0,9.0
19,2015.0,January-March,Massachusetts,4600.0,1000.0,22.0,260.0,120.0,3.0
20,2015.0,January-March,Michigan,60000.0,11500.0,19.0,7500.0,2400.0,4.0
21,2015.0,January-March,Minnesota,74000.0,3700.0,5.0,690.0,530.0,1.0
22,2015.0,January-March,Mississippi,76000.0,8500.0,11.0,22000.0,7500.0,10.0
23,2015.0,January-March,Missouri,13000.0,2000.0,15.0,220.0,910.0,7.0
24,2015.0,January-March,Montana,36000.0,2200.0,6.0,1400.0,1100.0,3.0
25,2015.0,January-March,Nebraska,31000.0,2600.0,8.0,120.0,310.0,1.0
26,2015.0,January-March,New Jersey,9000.0,1100.0,12.0,570.0,1600.0,18.0
27,2015.0,January-March,New Mexico,7000.0,690.0,10.0,190.0,600.0,9.0
28,2015.0,January-March,New York,30000.0,6500.0,22.0,430.0,950.0,3.0
29,2015.0,January-March,North Carolina,26000.0,7000.0,27.0,6000.0,690.0,3.0
30,,,,,,,,,
31,2015.0,January-March,Ohio,22000.0,10500.0,48.0,5000.0,3300.0,15.0
32,2015.0,January-March,Oklahoma,26000.0,6000.0,23.0,2600.0,260.0,1.0
33,2015.0,January-March,Oregon,87000.0,6500.0,8.0,4300.0,2400.0,3.0
34,,,,,,,,,
