id,Country,Currency Code,Local Price,Dollar Exchange,Dollar Price
1,United Arab Emirates,AED,17.0,3.67305,4.628306176
2,Argentina,ARS,450.0,105.0165,4.285040922
3,Australia,AUD,6.4,1.419345682,4.50912
4,Azerbaijan,AZN,4.5,1.699,2.648616833
5,Bahrain,BHD,1.5,0.377,3.978779841
6,Brazil,BRL,22.9,5.31,4.312617702
7,Canada,CAD,6.77,1.2718,5.323164019
8,Switzerland,CHF,6.5,0.93105,6.981365125
9,Chile,CLP,3100.0,798.6,3.881793138
10,China,CNY,24.4,6.36535,3.833253474
11,Colombia,COP,12950.0,3941.995,3.285138616
12,Costa Rica,CRC,2650.0,642.585,4.123968035
13,Czech Republic,CZK,89.0,21.6802,4.105128181
14,Denmark,DKK,32.0,6.6373,4.821237551
15,Egypt,EGP,42.5,15.71,2.705283259
16,Euro area,EUR,4.42,0.8920606601,4.95482
17,Britain,GBP,3.59,0.7453508739,4.8165235
18,Guatemala,GTQ,26.0,7.6898,3.381102239
19,Hong Kong,HKD,22.0,7.79755,2.821399029
20,Honduras,HNL,89.0,24.61415,3.615806355
21,Croatia,HRK,23.67,6.715,3.524944155
22,Hungary,HUF,982.0,317.51115,3.092804772
23,Indonesia,IDR,34000.0,14382.0,2.364066194
24,India,INR,190.0,74.6225,2.54614895
25,Israel,ILS,17.0,3.17775,5.349697113
26,Jordan,JOD,2.12,0.709,2.990126939
27,Japan,JPY,390.0,115.225,3.384682144
28,South Korea,KRW,4600.0,1205.5,3.815844048
29,Kuwait,KWD,1.25,0.3029,4.126774513
30,Lebanon,LBP,70000.0,21500.0,3.255813953
31,Sri Lanka,LKR,840.0,202.41,4.149992589
32,Moldova,MDL,52.0,18.0,2.888888889
33,Mexico,MXN,69.0,20.649,3.341566178
34,Malaysia,MYR,9.99,4.1855,2.386811612
35,Nicaragua,NIO,134.0,35.455,3.779438725
36,Norway,NOK,57.0,8.91605,6.392965495
37,New Zealand,NZD,7.0,1.52264941,4.59725
38,Oman,OMR,1.15,0.385,2.987012987
39,Pakistan,PKR,590.0,176.52,3.342397462
40,Peru,PEN,12.9,3.83735,3.36169492
41,Philippines,PHP,142.0,50.975,2.785679255
42,Poland,PLN,14.08,4.094,3.439179287
43,Qatar,QAR,13.0,3.641,3.570447679
44,Romania,RON,10.6,4.4119,2.402592987
45,Russia,RUB,135.0,77.4175,1.743791778
46,Saudi Arabia,SAR,15.0,3.7519,3.99797436
47,Singapore,SGD,5.9,1.35215,4.363421218
48,Sweden,SEK,54.0,9.3341,5.78523907
49,Thailand,THB,128.0,33.295,3.844421084
50,Turkey,TRY,24.99,13.4155,1.862770676
51,Taiwan,TWD,75.0,27.814,2.696483785
52,Ukraine,UAH,69.0,28.3673,2.432378126
53,Uruguay,UYU,239.0,44.0355,5.427439225
54,United States,USD,5.81,1.0,5.81
55,Venezuela,VES,23.0,4.5435,5.062176736
56,Vietnam,VND,69000.0,22650.0,3.046357616
57,South Africa,ZAR,39.9,15.47,2.57918552
