id,Rank,Major,Total,Men,Women,Major_category,ShareWomen,Employed,Unemployed,Unemployment_rate,Median
1,1.0,Petroleum Engineering,2339.0,2057.0,282.0,Engineering,0.120564344,1976.0,37.0,0.018380527,110000.0
2,2.0,Mining And Mineral Engineering,756.0,679.0,77.0,Engineering,0.101851852,640.0,85.0,0.117241379,75000.0
3,3.0,Metallurgical Engineering,856.0,725.0,131.0,Engineering,0.153037383,648.0,16.0,0.024096386,73000.0
4,4.0,Naval Architecture And Marine Engineering,1258.0,1123.0,135.0,Engineering,0.107313196,758.0,40.0,0.050125313,70000.0
5,5.0,Chemical Engineering,32260.0,21239.0,11021.0,Engineering,0.341630502,25694.0,1672.0,0.061097712,65000.0
6,6.0,Nuclear Engineering,2573.0,2200.0,373.0,Engineering,0.144966965,1857.0,400.0,0.177226407,65000.0
7,7.0,Actuarial Science,3777.0,2110.0,1667.0,Business,0.441355573,2912.0,308.0,0.095652174,62000.0
8,8.0,Astronomy And Astrophysics,1792.0,832.0,960.0,Physical Sciences,0.535714286,1526.0,33.0,0.021167415,62000.0
9,9.0,Mechanical Engineering,91227.0,80320.0,10907.0,Engineering,0.119558903,76442.0,4650.0,0.057342278,60000.0
10,10.0,Electrical Engineering,81527.0,65511.0,16016.0,Engineering,0.196450256,61928.0,3895.0,0.059173845,60000.0
11,11.0,Computer Engineering,41542.0,33258.0,8284.0,Engineering,0.199412643,32506.0,2275.0,0.065409275,60000.0
12,12.0,Aerospace Engineering,15058.0,12953.0,2105.0,Engineering,0.139792801,11391.0,794.0,0.065162085,60000.0
13,13.0,Biomedical Engineering,14955.0,8407.0,6548.0,Engineering,0.437846874,10047.0,1019.0,0.09208386,60000.0
14,14.0,Materials Science,4279.0,2949.0,1330.0,Engineering,0.310820285,3307.0,78.0,0.023042836,60000.0
15,15.0,Engineering Mechanics Physics And Science,4321.0,3526.0,795.0,Engineering,0.183985189,3608.0,23.0,0.006334343,58000.0
16,16.0,Biological Engineering,8925.0,6062.0,2863.0,Engineering,0.320784314,6170.0,589.0,0.087143069,57100.0
17,17.0,Industrial And Manufacturing Engineering,18968.0,12453.0,6515.0,Engineering,0.343473218,15604.0,699.0,0.042875544,57000.0
18,18.0,General Engineering,61152.0,45683.0,15469.0,Engineering,0.252959838,44931.0,2859.0,0.059824231,56000.0
19,19.0,Architectural Engineering,2825.0,1835.0,990.0,Engineering,0.350442478,2575.0,170.0,0.061930783,54000.0
20,20.0,Court Reporting,1148.0,877.0,271.0,Law & Public Policy,0.236062718,930.0,11.0,0.011689692,54000.0
21,21.0,Computer Science,128319.0,99743.0,28576.0,Computers & Mathematics,0.222695002,102087.0,6884.0,0.063172771,53000.0
22,23.0,Electrical Engineering Technology,11565.0,8181.0,3384.0,Engineering,0.292607004,8587.0,824.0,0.087557114,52000.0
23,24.0,Materials Engineering And Materials Science,2993.0,2020.0,973.0,Engineering,0.325091881,2449.0,70.0,0.027788805,52000.0
24,25.0,Management Information Systems And Statistics,18713.0,13496.0,5217.0,Business,0.278790146,16413.0,1015.0,0.058239614,51000.0
25,26.0,Civil Engineering,53153.0,41081.0,12072.0,Engineering,0.227117943,43041.0,3270.0,0.070609574,50000.0
26,27.0,Construction Services,18498.0,16820.0,1678.0,Industrial Arts & Consumer Services,0.090712509,16318.0,1042.0,0.060023041,50000.0
27,28.0,Operations Logistics And E-Commerce,11732.0,7921.0,3811.0,Business,0.32483805,10027.0,504.0,0.047858703,50000.0
28,29.0,Miscellaneous Engineering,9133.0,7398.0,1735.0,Engineering,0.189970437,7428.0,597.0,0.074392523,50000.0
29,30.0,Public Policy,5978.0,2639.0,3339.0,Law & Public Policy,0.558548009,4547.0,670.0,0.128426299,50000.0
30,31.0,Environmental Engineering,4047.0,2662.0,1385.0,Engineering,0.342228811,2983.0,308.0,0.093588575,50000.0
