id,Name,Symbol,Year,Month,Day,Date,Price
1,Bitcoin,BTC,2013.0,4.0,29.0,4/29/2013,144.5399933
2,Bitcoin,BTC,2013.0,4.0,30.0,4/30/2013,139.0
3,Bitcoin,BTC,2013.0,5.0,1.0,5/1/2013,116.9899979
4,Bitcoin,BTC,2013.0,5.0,2.0,5/2/2013,105.2099991
5,Bitcoin,BTC,2013.0,5.0,3.0,5/3/2013,97.75
6,Bitcoin,BTC,2013.0,5.0,4.0,5/4/2013,112.5
7,Bitcoin,BTC,2013.0,5.0,5.0,5/5/2013,115.9100037
8,Bitcoin,BTC,2013.0,5.0,6.0,5/6/2013,112.3000031
9,Bitcoin,BTC,2013.0,5.0,7.0,5/7/2013,111.5
10,Bitcoin,BTC,2013.0,5.0,8.0,5/8/2013,113.5660019
11,Bitcoin,BTC,2013.0,5.0,9.0,5/9/2013,112.6699982
12,Bitcoin,BTC,2013.0,5.0,10.0,5/10/2013,117.1999969
13,Bitcoin,BTC,2013.0,5.0,11.0,5/11/2013,115.2429962
14,Bitcoin,BTC,2013.0,5.0,12.0,5/12/2013,115.0
15,Bitcoin,BTC,2013.0,5.0,13.0,5/13/2013,117.9800034
16,Bitcoin,BTC,2013.0,5.0,14.0,5/14/2013,111.5
17,Bitcoin,BTC,2013.0,5.0,15.0,5/15/2013,114.2200012
18,Bitcoin,BTC,2013.0,5.0,16.0,5/16/2013,118.7600021
19,Bitcoin,BTC,2013.0,5.0,17.0,5/17/2013,123.0149994
20,Bitcoin,BTC,2013.0,5.0,18.0,5/18/2013,123.4980011
21,Bitcoin,BTC,2013.0,5.0,19.0,5/19/2013,121.9899979
22,Bitcoin,BTC,2013.0,5.0,20.0,5/20/2013,122.0
23,Bitcoin,BTC,2013.0,5.0,21.0,5/21/2013,122.8799973
24,Bitcoin,BTC,2013.0,5.0,22.0,5/22/2013,123.8889999
25,Bitcoin,BTC,2013.0,5.0,23.0,5/23/2013,126.6999969
26,Bitcoin,BTC,2013.0,5.0,24.0,5/24/2013,133.1999969
27,Bitcoin,BTC,2013.0,5.0,25.0,5/25/2013,131.9799957
28,Bitcoin,BTC,2013.0,5.0,26.0,5/26/2013,133.4799957
29,Bitcoin,BTC,2013.0,5.0,27.0,5/27/2013,129.7449951
30,Bitcoin,BTC,2013.0,5.0,28.0,5/28/2013,129.0
31,Bitcoin,BTC,2013.0,5.0,29.0,5/29/2013,132.3000031
32,Bitcoin,BTC,2013.0,5.0,30.0,5/30/2013,128.798996
33,Bitcoin,BTC,2013.0,5.0,31.0,5/31/2013,129.0
34,Bitcoin,BTC,2013.0,6.0,1.0,6/1/2013,129.3000031
35,Bitcoin,BTC,2013.0,6.0,2.0,6/2/2013,122.2919998
36,Bitcoin,BTC,2013.0,6.0,3.0,6/3/2013,122.2220001
37,Bitcoin,BTC,2013.0,6.0,4.0,6/4/2013,121.4199982
