id,game,release-date,release-era,genre,total-earnings,online-earnings,total-winners,total-tournaments
1,Age of Empires,1997.0,pre-2000,Strategy,190075.6,33235.72,246.0,95.0
2,Age of Empires II,1999.0,pre-2000,Strategy,1574109.0,956573.6,979.0,602.0
3,Age of Empires III,2005.0,bw-2000-2010,Strategy,68113.85,26613.85,106.0,76.0
4,Age of Empires Online,2011.0,post-2010,Strategy,2668.0,2668.0,16.0,7.0
5,Age of Mythology,2002.0,bw-2000-2010,Strategy,52360.0,360.0,22.0,6.0
6,Among Us,2018.0,post-2010,Strategy,66000.0,66000.0,10.0,6.0
7,Auto Chess,2019.0,post-2010,Strategy,1076322.0,40800.0,72.0,6.0
8,Brawl Stars,2018.0,post-2010,Strategy,94950.0,8700.0,51.0,10.0
9,Chess.com,2007.0,bw-2000-2010,Strategy,940888.9,940888.9,620.0,172.0
10,chess24,2014.0,post-2010,Strategy,1184696.0,1184696.0,61.0,10.0
11,Clash of Clans,2012.0,post-2010,Strategy,2002137.0,956250.0,185.0,19.0
12,Clash Royale,2016.0,post-2010,Strategy,3363348.0,213709.3,290.0,51.0
13,Command & Conquer 3,2007.0,bw-2000-2010,Strategy,53086.67,0.0,9.0,8.0
14,Company of Heroes 2,2013.0,post-2010,Strategy,8561.22,605.0,11.0,6.0
15,ComPet,2016.0,post-2010,Strategy,2000.0,2000.0,50.0,1.0
16,Dead By Daylight,2016.0,post-2010,Strategy,60000.0,60000.0,35.0,9.0
17,Dota Underlords,2019.0,post-2010,Strategy,26024.18,26024.18,62.0,36.0
18,Endgods,2015.0,post-2010,Strategy,0.0,0.0,0.0,0.0
19,Farming Simulator 19,2018.0,post-2010,Strategy,295386.6,175940.7,89.0,14.0
20,Grey Goo,2015.0,post-2010,Strategy,36400.0,6000.0,18.0,5.0
21,Internet Chess Club,1995.0,pre-2000,Strategy,10000.0,10000.0,6.0,1.0
22,Iron Harvest,2020.0,post-2010,Strategy,0.0,0.0,0.0,0.0
23,Lichess,2010.0,bw-2000-2010,Strategy,1163297.0,1163297.0,276.0,88.0
24,Multigaming,2000.0,bw-2000-2010,Strategy,148384.3,0.0,19.0,3.0
25,osu!,2007.0,bw-2000-2010,Strategy,23100.0,23100.0,971.0,7.0
26,Playchess.com,2002.0,bw-2000-2010,Strategy,32866.58,32866.58,116.0,9.0
27,Pokemon VGC,2017.0,post-2010,Strategy,211500.0,0.0,170.0,24.0
28,Prophecy,2020.0,post-2010,Strategy,13000.0,13000.0,27.0,4.0
29,Rise of Nations: Rise of Legends,2006.0,bw-2000-2010,Strategy,69600.0,0.0,8.0,1.0
30,Sea of Thieves,2016.0,post-2010,Strategy,100000.0,100000.0,67.0,4.0
31,StarCraft II,2010.0,bw-2000-2010,Strategy,34243238.0,5227920.0,2084.0,5962.0
32,StarCraft: Brood War,1998.0,pre-2000,Strategy,8376408.0,373509.1,680.0,586.0
33,Super Mario Party,2018.0,post-2010,Strategy,220.0,0.0,4.0,1.0
34,Supreme Commander,2007.0,bw-2000-2010,Strategy,4901.26,0.0,0.0,1.0
35,Supreme Commander: Forged Alliance,2007.0,bw-2000-2010,Strategy,1290.01,0.0,0.0,1.0
36,Teamfight Tactics,2019.0,post-2010,Strategy,819313.7,584063.7,159.0,15.0
37,TEPPEN,2019.0,post-2010,Strategy,456721.5,0.0,12.0,1.0
38,UNO,2016.0,post-2010,Strategy,20000.0,20000.0,16.0,2.0
39,WarCraft III,2002.0,bw-2000-2010,Strategy,5811480.0,772608.9,558.0,1335.0
40,WarCraft III: Reforged,2020.0,post-2010,Strategy,354595.3,135259.5,80.0,65.0
41,"Warhammer 40,000: Dawn of War",2005.0,bw-2000-2010,Strategy,79816.5,0.0,7.0,3.0
42,"Warhammer 40,000: Dawn of War II",2009.0,bw-2000-2010,Strategy,0.0,0.0,0.0,0.0
43,Warparty,2019.0,post-2010,Strategy,1000.0,1000.0,4.0,1.0
44,Windjammers,1994.0,pre-2000,Strategy,4172.16,40.0,32.0,11.0
45,World in Conflict,2007.0,bw-2000-2010,Strategy,293338.2,0.0,38.0,11.0
46,World of Tanks,2010.0,bw-2000-2010,Strategy,3656497.0,58464.87,403.0,50.0
