id,country,day,month,name_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,date_mdy
1,Cyprus,1.0,Apr,National Day,1955.0,United Kingdom,1 April attacks that started the Cyprus Emergency[49],4/1/1955
2,Armenia,21.0,Sep,Independence Day,1991.0,Soviet Union,1991 Armenian independence referendum,9/21/1991
3,Bosnia and Herzegovina,1.0,Mar,Independence Day,1992.0,Socialist Federal Republic of Yugoslavia,1992 Bosnian independence referendum,3/1/1992
4,Montenegro,21.0,May,Independence Day,2006.0,Serbia and Montenegro,2006 Montenegrin independence referendum,5/21/2006
5,Costa Rica,15.0,Sep,Independence Day,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],9/15/1821
6,El Salvador,15.0,Sep,Independence Day,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],9/15/1821
7,Guatemala,15.0,Sep,Independence Day,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],9/15/1821
8,Honduras,15.0,Sep,Independence Day,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],9/15/1821
9,Nicaragua,15.0,Sep,Independence Day,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],9/15/1821
10,Lithuania,16.0,Feb,Statehood Restoration Day,1918.0,Russian Soviet Federative Socialist Republic and German Empire,Act of Independence of Lithuania,2/16/1918
11,Lithuania,11.0,Mar,Independence Restoration Day,1990.0,Soviet Union,Act of the Re-Establishment of the State of Lithuania,3/11/1990
12,Azerbaijan,18.0,Oct,Independence Day,1991.0,Soviet Union,"Adoption of the constitutional act ""On the State Independence of the Republic of Azerbaijan""[12]",10/18/1991
13,Iran,1.0,Apr,Independence Day,1979.0,N/A,"After holding a referendum, Iran officially became an Islamic republic in April 1979.",4/1/1979
14,Albania,28.0,Nov,Flag Day (Dita e Flamurit),1912.0,Ottoman Empire,"Albanian Declaration of Independence. The following day, November 29, is celebrated as the Liberation Day and commemorates the end of the German occupation in 1944.[4]",11/28/1912
15,Algeria,5.0,Jul,Independence Day,1962.0,France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]",7/5/1962
16,Switzerland,1.0,Aug,Swiss National Day,1291.0,N/A,Alliance against the Holy Roman Empire in 1291.,8/1/1291
17,Afghanistan,19.0,Aug,Afghan Independence Day (Afghan Victory Day),1919.0,United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]",8/19/1919
18,Argentina,9.0,Jul,Independence Day,1816.0,Spanish Empire,Argentine Declaration of Independence,7/9/1816
19,Jordan,25.0,May,Independence Day,1946.0,United Kingdom,Ascension of Abdullah I of Jordan to the throne[59],5/25/1946
20,Bahrain,16.0,Dec,Independence Day,1971.0,United Kingdom,Ascension of Isa bin Salman Al Khalifa to the throne[14],12/16/1971
21,Belgium,21.0,Jul,National Day,1831.0,United Netherlands,Ascension of Leopold of Saxe-Coburg-Saalfeld to the throne[16],7/21/1831
22,Ecuador,24.0,May,Independence Day,1822.0,Spanish Empire,Battle of Pichincha,5/24/1822
23,Bolivia,6.0,Aug,Independence Day,1825.0,Spain,Bolivian Declaration of Independence,8/6/1825
24,Brunei,23.0,Feb,National Day,1984.0,United Kingdom,"Brunei gained full independence effective January 1, 1984 under the Treaty of Friendship and Co-operation of 7 January 1979 between United Kingdom and Brunei.[21] However, the celebrations of the first National Day were delayed until February 23 and that day continues to be celebrated since.[22]",2/23/1984
25,Bulgaria,5.0,Oct,Independence Day,1908.0,Ottoman Empire,Bulgarian Declaration of Independence[24],10/5/1908
26,Myanmar,4.0,Jan,Independence Day,1948.0,United Kingdom,Burmese Declaration of Independence,1/4/1948
27,Cuba,10.0,Oct,Commencement of the Wars of Independence[46],1868.0,Spanish Empire,Call to rebellion (known as Grito de Yara) by sugar planter Carlos Manuel de Cespedes that led to the Ten Years' War for independence[48],10/10/1868
28,Sweden,6.0,Jun,National Day,1523.0,N/A,Celebrates the election of King Gustav Vasa in 1523 and the new constitutions in 1809 and 1974. The election of King Gustav Vasa was the de facto end of the Kalmar Union and has been seen as a formal declaration of independence.,6/6/1523
29,Cambodia,9.0,Nov,Independence Day,1953.0,France,"Ceremony transferring military from French to Cambodian officials based on a military hand-over agreement reached on October 17, 1953[28][29]",11/9/1953
30,Colombia,20.0,Jul,Independence Day,1810.0,Spanish Empire,Colombian Declaration of Independence,7/20/1810
31,Slovenia,25.0,Jun,Independence and Unity Day,1991.0,SFR Yugoslavia,"Date of the release of the official results of the independence plebiscite in 1990, confirming secession from Yugoslavia. (Statehood Day) Declared independence from Yugoslavia in 1991.",6/25/1991
32,Georgia,26.0,May,Independence Day,1918.0,Russian Soviet Federative Socialist Republic,Day of the proclamation of the Democratic Republic of Georgia in 1918.,5/26/1918
33,Azerbaijan,28.0,May,Republic Day,1918.0,Russian Soviet Federative Socialist Republic,Declaration of Independence (Azerbaijan),5/28/1918
34,Greece,25.0,Mar,Independence Day,1821.0,Ottoman Empire,Declaration of independence 1821. Start of the Greek War of Independence.,3/25/1821
35,Uruguay,25.0,Aug,Independence Day,1825.0,United Provinces of the Rio de la Plata,Declaration of independence and union with the United Provinces of the Rio de la Plata.,8/25/1825
36,Yemen,30.0,Nov,Independence Day,1967.0,United Kingdom,Declaration of independence as South Yemen,11/30/1967
37,Brazil,7.0,Sep,Independence Day (Dia da Independencia),1822.0,"United Kingdom of Portugal, Brazil and the Algarves",Declaration of independence by Pedro I of Brazil (see Independence of Brazil)[20],9/7/1822
38,Guinea-Bissau,24.0,Sep,Independence Day,1973.0,Portugal,Declaration of independence during the Guinea-Bissau War of Independence[56],9/24/1973
39,"Netherlands, The",26.0,Jul,Independence Day,1581.0,Spanish Empire,Declaration of Independence in 1581 as the Dutch Republic,7/26/1581
40,Slovakia,17.0,Jul,Independence Day,1992.0,N/A,"Declaration of Independence in 1992 (only a remembrance day), de jure independence came on January 1, 1993 after the division of Czechoslovakia (public holiday).",7/17/1992
41,Armenia,28.0,May,Republic Day,1918.0,Russian Soviet Federative Socialist Republic,Declaration of Independence of Armenia (1918),5/28/1918
42,Ukraine,24.0,Aug,Independence Day,1991.0,Soviet Union,Declaration of Independence of Ukraine,8/24/1991
43,Austria,26.0,Oct,National Day,1955.0,"Allied occupying powers (France, United Kingdom, United States and Soviet Union)",Declaration of Neutrality,10/26/1955
44,East Timor,20.0,May,Independence Day,2002.0,Portugal,"East Timor was invaded by Indonesia from 1975 to 1999, officially it never ceased to be considered as administrated by Portugal.",5/20/2002
45,Cape Verde,5.0,Jul,Independence Day,1975.0,Portugal,"Effective date of the Agreement Between Portugal and Partido Africano para a Independência da Guiné e Cabo Verde (PAIGC) signed on December 18, 1974[32]",7/5/1975
46,Burkina Faso,5.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 11 and creation of the independent Republic of Upper Volta[18],8/5/1960
47,Benin,1.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 11 creating the independent Republic of Dahomey[18],8/1/1960
48,Niger,3.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 11.[18],8/3/1960
49,Ivory Coast,7.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 11.[18],8/7/1960
50,"Congo, Republic of the",15.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 12.[18],8/15/1960
51,Central African Republic,13.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 12[18],8/13/1960
52,Chad,11.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 12[18],8/11/1960
53,Gabon,17.0,Aug,Independence Day,1960.0,France,Effective date of the agreement with France signed on July 15.[18],8/17/1960
54,Mauritania,28.0,Nov,Independence Day,1960.0,France,Effective date of the agreement with France signed on October 19.[18],11/28/1960
