id,Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
1,The Desert,Augustus E. John,Male,Oil,Boston,1.0,260.0,Requested by Organizers
2,The Orange Frock,Augustus E. John,Male,Oil,Boston,1.0,650.0,Requested by Organizers
3,Pines,Augustus E. John,Male,Oil,Boston,1.0,260.0,Requested by Organizers
4,The Coast of Clare,Augustus E. John,Male,Oil,Boston,1.0,585.0,Requested by Organizers
5,The Yellow Dress,Augustus E. John,Male,Oil,Boston,1.0,780.0,Requested by Organizers
6,The Red Shawl,Augustus E. John,Male,Oil,Boston,1.0,650.0,Requested by Organizers
7,"Lithographs; now determined to be The Volpini Suite;, 1889",Paul Gauguin,Male,Lithograph,Chicago & Boston,2.0,27.0,Requested by Organizers
8,Ophelia,Odilon Redon,Male,Oil,Chicago & Boston,2.0,1200.0,Requested by Organizers
9,12 Etchings,J. Alden Weir,Male,Etching,New York,1.0,500.0,Requested by Organizers
10,Feeding the Ducks,Elmer Livingston MacRae,Male,Oil,New York,1.0,550.0,Requested by Organizers
11,Street,Jonas Lie,Male,Oil,New York,1.0,500.0,Requested by Organizers
12,Boy and Goat; elsewhere Boy With Goat,Karl Anderson,Male,Oil,New York,1.0,500.0,Requested by Organizers
13,New York,Howard Coluzzi,Male,Oil,New York,1.0,300.0,Requested by Organizers
14,April,Edward Adam Kramer,Male,Pastel,New York,1.0,100.0,Requested by Organizers
15,Farm Yard,Adolph Kleiminger,Male,Oil,New York,1.0,400.0,Requested by Organizers
16,"The Rain, Connecticut Hills",Childe Hassam,Male,Pastel,New York,1.0,650.0,Requested by Organizers
17,The Birth,George Grey Barnard,Male,Stone,New York,1.0,2000.0,Requested by Organizers
18,"#The Mystery of Life, 1895–97",George Grey Barnard,Male,Stone,New York,1.0,2000.0,Requested by Organizers
19,3 Drawings,Boardman Robinson,Male,Drawing,New York & Chicago,2.0,100.0,Requested by Organizers
20,2 Cartoons,Boardman Robinson,Male,Drawing,New York & Chicago,2.0,60.0,Requested by Organizers
21,Minetta Lane,Paul Burlin,Male,Drawing,New York,1.0,65.0,Requested by Organizers
22,Remains of equitable building,Paul Burlin,Male,Drawing,New York,1.0,85.0,Requested by Organizers
23,Washington Market District,Paul Burlin,Male,Drawing,New York,1.0,65.0,Requested by Organizers
24,Seven Drawings,Auguste Rodin,Male,Watercolor,New York & Chicago,2.0,1750.0,Requested by Organizers
25,Six Drawings,Bernard Karfiol,Male,Drawing,New York,1.0,20.0,Requested by Organizers
26,The Crinolines,Charles Condor,Male,Oil,"New York, Chicago & Boston",3.0,1000.0,Requested by Organizers
27,The Orchard,J. Alden Weir,Male,Oil,New York,1.0,2500.0,Requested by Organizers
28,When the Wind Blows,Van Dearing Perrine,Male,Oil,New York,1.0,750.0,Requested by Organizers
29,#Study in Rose and Brown,James A. McNeill Whistler,Male,Oil,New York,1.0,8500.0,Requested by Organizers
30,The Ice Floes,Van Dearing Perrine,Male,Oil,New York,1.0,2000.0,Requested by Organizers
31,Woman in Garden,Henri Toulouse-Lautrec,Male,Oil,New York,1.0,6600.0,Requested by Organizers
32,Rueil; now titled Village,MAurice de Vlaminck,Male,Oil,New York & Chicago,2.0,224.0,Requested by Organizers
33,"Drawings, Nos. 1-6",Marjorie Organ,Female,Drawing,New York,1.0,50.0,Requested by Organizers
