id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
1,Boston University School of Education-Data Entry,BU School of Education-OLD,42.349716,-71.100819,8/21/2017,35.6,9.0
2,Boston University School of Education-Data Entry,BU School of Education-OLD,42.349716,-71.100819,8/21/2017,48.4,9.0
3,Boston University v-School 2017,BU Marsh Plaza Granite,42.350391,-71.106453,10/25/2017,19.1,1.0
4,Boston University v-School 2017,NS Esplinade,42.35,-71.1,10/27/2017,14.7,1.0
5,Boston University v-School 2017,BU Marsh Plaza Granite,42.350391,-71.106453,10/28/2017,22.6,1.0
6,Boston University v-School 2017,BU Marsh Plaza Granite,42.350391,-71.106453,11/7/2017,9.6,1.0
7,Boston University v-School 2017,BU Marsh Plaza Granite,42.350391,-71.106453,11/9/2017,11.2,1.0
8,Boston University v-School 2017,BU Beach Brick,42.350784,-71.106091,11/15/2017,3.8,1.0
9,Boston University v-School 2017,BU Marsh Plaza Granite,42.350391,-71.106453,11/15/2017,4.0,1.0
10,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,6/11/2018,8.5,1.0
11,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/11/2018,25.5,9.0
12,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/11/2018,25.5,9.0
13,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,9/13/2018,24.7,9.0
14,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/13/2018,23.5,9.0
15,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/13/2018,23.5,9.0
16,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/20/2018,18.7,8.0
17,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,9/20/2018,20.3,8.0
18,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,9/20/2018,20.1,9.0
19,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/20/2018,19.0,1.0
20,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/20/2018,19.1,9.0
21,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/20/2018,19.1,9.0
22,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/25/2018,15.3,9.0
23,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,9/25/2018,16.7,9.0
24,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,9/25/2018,16.8,9.0
25,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,9/25/2018,16.4,1.0
26,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,9/27/2018,23.6,9.0
27,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,9/27/2018,23.7,9.0
28,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,9/27/2018,22.8,9.0
29,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/27/2018,20.8,9.0
30,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,10/2/2018,14.7,9.0
31,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/2/2018,15.2,1.0
32,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/2/2018,14.2,8.0
33,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/2/2018,14.2,8.0
34,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/2/2018,15.0,9.0
35,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,10/4/2018,22.8,9.0
36,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/4/2018,21.5,1.0
37,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/4/2018,22.5,8.0
38,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/4/2018,22.5,9.0
39,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/4/2018,21.1,9.0
40,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,10/11/2018,21.6,7.0
41,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/11/2018,18.5,9.0
42,Boston University School of Education GLOBE v-School,BU COMM PLAZA,42.349145,-71.102338,10/11/2018,21.5,1.0
43,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/11/2018,21.1,9.0
44,Boston University School of Education GLOBE v-School,BU Muddy River,42.34956,-71.092269,10/11/2018,21.1,9.0
45,Boston University School of Education GLOBE v-School,BU Beach,42.351284,-71.106007,10/16/2018,16.8,1.0
46,Boston University School of Education GLOBE v-School,BU- Commonwealth Mall,42.349004,-71.093363,10/16/2018,14.0,9.0
47,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/16/2018,19.9,8.0
