id,CITY,STATE,DATE,TIME,LONGITUDE,LATITUDE,CONCENTRATION OF CO2 (PPMV)
1,New York,NY,9/1/2002,0.0,-74.5,40.5,372.294
2,New York,NY,10/1/2002,1.0,-74.5,40.5,372.422
3,New York,NY,11/1/2002,2.0,-74.5,40.5,374.063
4,New York,NY,12/1/2002,3.0,-74.5,40.5,375.225
5,New York,NY,1/1/2003,4.0,-74.5,40.5,375.819
6,New York,NY,2/1/2003,5.0,-74.5,40.5,376.997
7,New York,NY,3/1/2003,6.0,-74.5,40.5,376.125
8,New York,NY,4/1/2003,7.0,-74.5,40.5,377.112
9,New York,NY,5/1/2003,8.0,-74.5,40.5,376.773
10,New York,NY,6/1/2003,9.0,-74.5,40.5,375.62
11,New York,NY,7/1/2003,10.0,-74.5,40.5,375.206
12,New York,NY,8/1/2003,11.0,-74.5,40.5,375.026
13,New York,NY,9/1/2003,12.0,-74.5,40.5,375.057
14,New York,NY,10/1/2003,13.0,-74.5,40.5,375.828
15,New York,NY,11/1/2003,14.0,-74.5,40.5,375.968
16,New York,NY,12/1/2003,15.0,-74.5,40.5,377.262
17,New York,NY,1/1/2004,16.0,-74.5,40.5,378.159
18,New York,NY,2/1/2004,17.0,-74.5,40.5,378.412
19,New York,NY,3/1/2004,18.0,-74.5,40.5,378.289
20,New York,NY,4/1/2004,19.0,-74.5,40.5,378.423
21,New York,NY,5/1/2004,20.0,-74.5,40.5,378.424
22,New York,NY,6/1/2004,21.0,-74.5,40.5,377.738
23,New York,NY,7/1/2004,22.0,-74.5,40.5,376.806
24,New York,NY,8/1/2004,23.0,-74.5,40.5,375.904
25,New York,NY,9/1/2004,24.0,-74.5,40.5,376.677
26,New York,NY,10/1/2004,25.0,-74.5,40.5,377.049
27,New York,NY,11/1/2004,26.0,-74.5,40.5,378.176
28,New York,NY,12/1/2004,27.0,-74.5,40.5,378.618
29,New York,NY,1/1/2005,28.0,-74.5,40.5,379.156
30,New York,NY,2/1/2005,29.0,-74.5,40.5,379.486
31,New York,NY,3/1/2005,30.0,-74.5,40.5,380.943
32,New York,NY,4/1/2005,31.0,-74.5,40.5,380.927
33,New York,NY,5/1/2005,32.0,-74.5,40.5,380.82
34,New York,NY,6/1/2005,33.0,-74.5,40.5,380.713
35,New York,NY,7/1/2005,34.0,-74.5,40.5,379.25
36,New York,NY,8/1/2005,35.0,-74.5,40.5,378.469
37,New York,NY,9/1/2005,36.0,-74.5,40.5,378.579
38,New York,NY,10/1/2005,37.0,-74.5,40.5,379.253
39,New York,NY,11/1/2005,38.0,-74.5,40.5,380.661
40,New York,NY,12/1/2005,39.0,-74.5,40.5,381.358
41,New York,NY,1/1/2006,40.0,-74.5,40.5,381.552
42,New York,NY,2/1/2006,41.0,-74.5,40.5,382.551
43,New York,NY,3/1/2006,42.0,-74.5,40.5,382.379
44,New York,NY,4/1/2006,43.0,-74.5,40.5,382.835
45,New York,NY,5/1/2006,44.0,-74.5,40.5,382.845
46,New York,NY,6/1/2006,45.0,-74.5,40.5,382.058
47,New York,NY,7/1/2006,46.0,-74.5,40.5,380.951
48,New York,NY,8/1/2006,47.0,-74.5,40.5,380.11
49,New York,NY,9/1/2006,48.0,-74.5,40.5,379.606
50,New York,NY,10/1/2006,49.0,-74.5,40.5,381.148
51,New York,NY,11/1/2006,50.0,-74.5,40.5,382.081
52,New York,NY,12/1/2006,51.0,-74.5,40.5,382.843
53,New York,NY,1/1/2007,52.0,-74.5,40.5,383.454
54,New York,NY,2/1/2007,53.0,-74.5,40.5,384.837
55,New York,NY,3/1/2007,54.0,-74.5,40.5,384.318
56,New York,NY,4/1/2007,55.0,-74.5,40.5,383.988
57,New York,NY,5/1/2007,56.0,-74.5,40.5,384.273
58,New York,NY,6/1/2007,57.0,-74.5,40.5,383.965
59,New York,NY,7/1/2007,58.0,-74.5,40.5,381.982
60,New York,NY,8/1/2007,59.0,-74.5,40.5,382.769
61,New York,NY,9/1/2007,60.0,-74.5,40.5,382.483
62,New York,NY,10/1/2007,61.0,-74.5,40.5,383.145
