id,Last Name,First Name,Congress Number,Year at Start of Congress,State Code,Chamber of Congress,Congressional District,Party,Year First Elected,Gender,Size of House Delegation from Member's State,Race,Total Bills Sponsored,Total Bills with Action in Committee,Total Bills with Action Beyond Committee,Total Bills Passed Chamber,Total Bills Became Law,""
1,Abercrombie,Neil,107.0,2001.0,HI,House of Representative,1.0,Democrat,1990.0,Male,2.0,Caucasian,10.0,1.0,1.0,0.0,0.0,
2,Acevedo-Vila,Anibal,107.0,2001.0,PR,House of Representative,1.0,Democrat,2000.0,Male,1.0,Latino/a,18.0,2.0,2.0,2.0,1.0,
3,Ackerman,Gary,107.0,2001.0,NY,House of Representative,5.0,Democrat,1983.0,Male,31.0,Caucasian,9.0,1.0,0.0,0.0,0.0,
4,Aderholt,Robert,107.0,2001.0,AL,House of Representative,4.0,Republican,1996.0,Male,7.0,Caucasian,2.0,0.0,0.0,0.0,0.0,
5,Akaka,Daniel,107.0,2001.0,HI,Senate,State-Wide,Democrat,1990.0,Male,2.0,Asian-American,23.0,11.0,9.0,3.0,0.0,
6,Akin,W.,107.0,2001.0,MO,House of Representative,2.0,Republican,2000.0,Male,9.0,Caucasian,2.0,0.0,0.0,0.0,0.0,
7,Allard,Wayne,107.0,2001.0,CO,Senate,State-Wide,Republican,1996.0,Male,6.0,Caucasian,25.0,1.0,1.0,0.0,0.0,
8,Allen,Thomas,107.0,2001.0,ME,House of Representative,1.0,Democrat,1996.0,Male,2.0,Caucasian,14.0,1.0,1.0,0.0,0.0,
9,Allen,George,107.0,2001.0,VA,Senate,State-Wide,Republican,2000.0,Male,11.0,Caucasian,18.0,3.0,2.0,2.0,0.0,
10,Andrews,Robert,107.0,2001.0,NJ,House of Representative,1.0,Democrat,1990.0,Male,13.0,Caucasian,101.0,0.0,0.0,0.0,0.0,
11,Armey,Richard,107.0,2001.0,TX,House of Representative,26.0,Republican,1984.0,Male,30.0,Caucasian,8.0,2.0,2.0,2.0,1.0,
12,Baca,Joe,107.0,2001.0,CA,House of Representative,42.0,Democrat,1999.0,Male,52.0,Latino/a,25.0,0.0,0.0,0.0,0.0,
13,Bachus,Spencer,107.0,2001.0,AL,House of Representative,6.0,Republican,1992.0,Male,7.0,Caucasian,6.0,1.0,2.0,2.0,0.0,
14,Baird,Brian,107.0,2001.0,WA,House of Representative,3.0,Democrat,1998.0,Male,9.0,Caucasian,12.0,1.0,1.0,1.0,1.0,
15,Baker,Richard,107.0,2001.0,LA,House of Representative,6.0,Republican,1986.0,Male,7.0,Caucasian,15.0,4.0,2.0,1.0,1.0,
16,Baldacci,John,107.0,2001.0,ME,House of Representative,2.0,Democrat,1994.0,Male,2.0,Caucasian,9.0,0.0,0.0,0.0,0.0,
17,Baldwin,Tammy,107.0,2001.0,WI,House of Representative,2.0,Democrat,1998.0,Female,9.0,Caucasian,13.0,0.0,0.0,0.0,0.0,
18,Ballenger,Cass,107.0,2001.0,NC,House of Representative,10.0,Republican,1986.0,Male,12.0,Caucasian,9.0,1.0,0.0,0.0,0.0,
