id,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
1,Alabama,Baldwin,2020.0,269.0,250.0,19.0,0.0,0.0,0.0,0.0,74.0
2,Alabama,Clay,2020.0,108.0,99.0,9.0,0.0,0.0,0.0,0.0,86.0
3,Alabama,DeKalb,2020.0,364.0,350.0,14.0,0.0,0.0,0.0,0.0,90.0
4,Alabama,Elmore,2020.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,47.0
5,Alabama,Etowah,2020.0,278.0,260.0,18.0,0.0,0.0,0.0,0.0,92.0
6,Alabama,Jefferson,2020.0,366.0,212.0,151.0,3.0,0.0,0.0,0.0,129.0
7,Alabama,Lawrence,2020.0,72.0,69.0,3.0,0.0,0.0,0.0,0.0,75.0
8,Alabama,Madison,2020.0,364.0,307.0,57.0,0.0,0.0,0.0,0.0,88.0
9,Alabama,Mobile,2020.0,351.0,259.0,92.0,0.0,0.0,0.0,0.0,75.0
10,Alabama,Montgomery,2020.0,361.0,162.0,197.0,2.0,0.0,0.0,0.0,116.0
11,Alabama,Morgan,2020.0,355.0,308.0,47.0,0.0,0.0,0.0,0.0,71.0
12,Alabama,Russell,2020.0,365.0,299.0,66.0,0.0,0.0,0.0,0.0,99.0
13,Alabama,Shelby,2020.0,364.0,348.0,16.0,0.0,0.0,0.0,0.0,71.0
14,Alabama,Sumter,2020.0,362.0,350.0,12.0,0.0,0.0,0.0,0.0,70.0
15,Alabama,Tuscaloosa,2020.0,278.0,267.0,11.0,0.0,0.0,0.0,0.0,97.0
16,Alaska,Aleutians East ,2020.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,31.0
17,Alaska,Anchorage ,2020.0,366.0,334.0,32.0,0.0,0.0,0.0,0.0,91.0
18,Alaska,Bethel ,2020.0,167.0,166.0,1.0,0.0,0.0,0.0,0.0,56.0
19,Alaska,Denali ,2020.0,358.0,357.0,1.0,0.0,0.0,0.0,0.0,54.0
