id,Name,Type,Sugar Free?,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Sodium (mg),Caffeine (mg),Serving Weight (g),Serving Description (fl oz),200 Calorie Weight (g)
1,Acai Berry Drink Fortified,Juice,FALSE,62.0,0.83,0.83,12.83,11.1,13.0,0.0,266.0,8.0,322.581
2,Acerola Juice Raw,Juice,FALSE,23.0,0.3,0.4,4.8,4.5,3.0,0.0,242.0,16.0,869.565
3,Almond Milk Unsweetened,Milk,TRUE,15.0,1.1,0.59,0.58,0.0,71.0,0.0,244.0,16.0,1333.333
4,Aloe Vera Juice Drink Fortified With Vitamin C,Juice,FALSE,15.0,0.0,0.0,3.75,3.75,8.0,0.0,240.0,8.0,1333.333
5,Apple Juice,Juice,FALSE,46.0,0.13,0.1,11.3,9.62,4.0,0.0,248.0,16.0,434.783
6,Apricot Nectar Canned Without Added Ascorbic Acid,Juice,FALSE,56.0,0.45,0.17,13.63,12.79,8.0,0.0,251.0,16.0,357.143
7,Arizona Tea Ready-To-Drink Lemon,Juice,FALSE,39.0,0.0,0.0,9.77,9.63,4.0,5.0,30.6,1.0,512.821
8,Black Tea (Brewed),Tea,TRUE,1.0,0.0,0.0,0.3,0.0,3.0,20.0,29.6,1.0,20000.0
9,Black Tea (Ready To Drink),Tea,TRUE,0.0,0.0,0.0,0.0,0.0,2.0,11.0,473.0,16.0,0.0
10,Bottled Water,Water,TRUE,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.6,1.0,0.0
11,Brewed Coffee,Coffee,TRUE,2.0,0.0,0.3,0.17,0.0,1.0,37.0,248.0,16.0,10000.0
12,Brewed Coffee Half-Caffeinted,Coffee,TRUE,0.0,0.01,0.11,0.0,0.0,2.0,20.0,30.0,1.0,0.0
13,Buttermilk,Milk,FALSE,62.0,3.31,3.21,4.88,4.88,105.0,0.0,245.0,16.0,322.581
14,Cafe Con Leche,Coffee,FALSE,39.0,1.08,1.64,5.64,4.93,28.0,104.0,31.0,1.0,512.821
15,Cafe Con Leche Decaffeinated,Coffee,FALSE,39.0,1.09,1.65,5.72,5.01,29.0,0.0,31.0,1.0,512.821
16,Cafe Mocha,Coffee,FALSE,64.0,1.53,2.52,10.15,9.42,52.0,33.0,31.0,1.0,312.5
17,Cafe Mocha Decaffeinated,Coffee,FALSE,64.0,1.53,2.52,10.15,9.42,52.0,2.0,31.0,1.0,312.5
18,Cafe Mocha Decaffeinated Nonfat,Coffee,FALSE,52.0,0.09,2.57,10.27,9.45,48.0,2.0,31.0,1.0,384.615
19,Cafe Mocha Decaffeinated With Non-Dairy Milk,Coffee,FALSE,57.0,0.98,1.16,10.86,9.33,58.0,2.0,31.0,1.0,350.877
20,Cafe Mocha Nonfat,Coffee,FALSE,52.0,0.09,2.56,10.23,9.4,48.0,34.0,31.0,1.0,384.615
21,Cafe Mocha With Non-Dairy Milk,Coffee,FALSE,57.0,0.98,1.16,10.81,9.28,58.0,34.0,31.0,1.0,350.877
22,Caffeine Free Cola,Soda,FALSE,41.0,0.0,0.0,10.58,10.58,4.0,0.0,30.7,1.0,487.805
23,Canned Coffee Light,Coffee,FALSE,35.0,0.72,1.25,5.89,5.97,18.0,24.0,30.0,1.0,571.429
