id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
1,Sun 8/1,Afghanistan,147501,82586,6737
2,Sun 8/1,Albania,133121,130243,2457
3,Sun 8/1,Algeria,172564,116009,4291
4,Sun 8/1,Andorra,14678,14210,128
5,Sun 8/1,Angola,42815,37397,1016
6,Sun 8/1,Antigua and Barbuda,1303,1235,43
7,Sun 8/1,Argentina,4935847,4581132,105772
8,Sun 8/1,Armenia,230339,219986,4619
9,Sun 8/1,Australia,34612,24124,925
10,Sun 8/1,Austria,659508,643387,10738
11,Sun 8/1,Azerbaijan,344520,333128,5027
12,Sun 8/1,Bahamas,14840,12606,287
13,Sun 8/1,Bahrain,269303,266921,1384
14,Sun 8/1,Bangladesh,1264328,1093266,20916
15,Sun 8/1,Barbados,4407,4229,48
16,Sun 8/1,Belarus,446998,441369,3464
17,Sun 8/1,Belgium,1124715,0,25241
18,Sun 8/1,Belize,14163,13420,337
19,Sun 8/1,Benin,8394,8136,108
20,Sun 8/1,Bhutan,2518,2384,2
21,Sun 8/1,Bolivia,473899,408577,17839
22,Sun 8/1,Bosnia and Herzegovina,205655,189369,9687
23,Sun 8/1,Botswana,106690,95323,1569
24,Sun 8/1,Brazil,19942499,17771228,557091
25,Sun 8/1,Brunei,337,280,3
26,Sun 8/1,Bulgaria,425148,398554,18215
27,Sun 8/1,Burkina Faso,13588,13369,169
28,Sun 8/1,Burma,302665,213227,9731
29,Sun 8/1,Burundi,7080,773,9
30,Sun 8/1,Cabo Verde,33822,33036,298
31,Sun 8/1,Cambodia,77914,70754,1420
32,Sun 8/1,Cameroon,82064,35261,1334
33,Sun 8/1,Canada,1438817,1404244,26601
34,Sun 8/1,Central African Republic,7151,6859,98
35,Sun 8/1,Chad,4973,4793,174
36,Sun 8/1,Chile,1616942,1571788,35528
37,Sun 8/1,China,105149,99150,4848
38,Sun 8/1,Colombia,4794414,4587754,120998
39,Sun 8/1,Comoros,4028,3869,147
40,Sun 8/1,Congo (Brazzaville),13186,12421,178
41,Sun 8/1,Congo (Kinshasa),49917,29994,1038
42,Sun 8/1,Costa Rica,406814,329639,5030
43,Sun 8/1,Cote d'Ivoire,50278,49389,330
44,Sun 8/1,Croatia,363758,354393,8263
45,Sun 8/1,Cuba,394343,348487,2845
46,Sun 8/1,Cyprus,103668,39061,422
47,Sun 8/1,Czechia,1673694,1640599,30374
48,Sun 8/1,Denmark,318807,304985,2551
49,Sun 8/1,Diamond Princess,712,699,13
50,Sun 8/1,Djibouti,11652,11490,156
51,Sun 8/1,Dominica,218,209,0
52,Sun 8/1,Dominican Republic,342267,323700,3963
53,Sun 8/1,Ecuador,487598,443880,31634
54,Sun 8/1,Egypt,284311,230699,16528
55,Sun 8/1,El Salvador,86620,76265,2641
56,Sun 8/1,Equatorial Guinea,8880,8637,123
57,Sun 8/1,Eritrea,6547,6444,35
58,Sun 8/1,Estonia,133685,128902,1272
59,Sun 8/1,Eswatini,26220,21047,798
60,Sun 8/1,Ethiopia,280565,263587,4390
61,Sun 8/1,Fiji,30413,7942,241
62,Sun 8/1,Finland,107321,46000,985
63,Sun 8/1,France,6210335,413278,112079
64,Sun 8/1,Gabon,25384,25166,164
65,Sun 8/1,Gambia,7709,6600,212
66,Sun 8/1,Georgia,422188,384712,5853
67,Sun 8/1,Germany,3778277,3654720,91666
68,Sun 8/1,Ghana,103019,97213,823
69,Sun 8/1,Greece,494907,93764,12975
70,Sun 8/1,Grenada,164,161,1
71,Sun 8/1,Guatemala,369626,324332,10413
72,Sun 8/1,Guinea,25801,24242,229
73,Sun 8/1,Guinea-Bissau,4498,3968,76
74,Sun 8/1,Guyana,22523,21183,541
75,Sun 8/1,Haiti,20077,12961,545
76,Sun 8/1,Holy See,27,27,0
77,Sun 8/1,Honduras,297111,100697,7834
78,Sun 8/1,Hungary,809491,748157,30026
79,Sun 8/1,Iceland,8051,6795,30
80,Sun 8/1,India,31695958,30857467,424773
81,Sun 8/1,Indonesia,3440396,2809538,95723
82,Sun 8/1,Iran,3903519,3385195,90996
83,Sun 8/1,Iraq,1635993,1472093,18734
84,Sun 8/1,Ireland,302074,23364,5035
85,Sun 8/1,Israel,875801,850839,6477
86,Sun 8/1,Italy,4355348,4135930,128068
87,Sun 8/1,Jamaica,53237,47001,1196
88,Sun 8/1,Japan,936852,839090,15196
89,Sun 8/1,Jordan,771753,751177,10048
90,Sun 8/1,Kazakhstan,649207,537722,9077
91,Sun 8/1,Kenya,203680,189131,3946
92,Sun 8/1,Kiribati,2,0,0
93,Sun 8/1,"Korea, South",201002,176605,2099
94,Sun 8/1,Kosovo,108465,105660,2269
95,Sun 8/1,Kuwait,398538,385401,2328
96,Sun 8/1,Kyrgyzstan,163846,146061,2335
97,Sun 8/1,Laos,6566,3030,7
98,Sun 8/1,Latvia,138899,135583,2556
99,Sun 8/1,Lebanon,562527,537111,7909
100,Sun 8/1,Lesotho,13603,6664,377
101,Sun 8/1,Liberia,5404,2715,148
102,Sun 8/1,Libya,253436,192184,3548
103,Sun 8/1,Liechtenstein,3190,3009,58
104,Sun 8/1,Lithuania,283016,269323,4416
105,Sun 8/1,Luxembourg,73870,71867,822
106,Sun 8/1,MS Zaandam,9,7,2
107,Sun 8/1,Madagascar,42665,41151,943
108,Sun 8/1,Malawi,52631,38147,1661
109,Sun 8/1,Malaysia,1130422,925963,9184
