id,Date,State,Total Confirmed Cases,Total Deaths
1,Sat 10/8,Alabama,1526381,20473
2,Sat 10/8,Alaska,297176,1350
3,Sat 10/8,American Samoa,8244,34
4,Sat 10/8,Arizona,2275235,31406
5,Sat 10/8,Arkansas,953976,12301
6,Sat 10/8,California,11290889,96242
7,Sat 10/8,Colorado,1666305,13536
8,Sat 10/8,Connecticut,901180,11385
9,Sat 10/8,Delaware,309804,3112
10,Sat 10/8,District of Columbia,168678,1392
11,Sat 10/8,Florida,7129245,81661
12,Sat 10/8,Georgia,2825163,38808
13,Sat 10/8,Guam,59600,402
14,Sat 10/8,Hawaii,348570,1691
15,Sat 10/8,Idaho,497106,5190
16,Sat 10/8,Illinois,3780353,39777
17,Sat 10/8,Indiana,1925645,24748
18,Sat 10/8,Iowa,857944,10097
19,Sat 10/8,Kansas,880649,9590
20,Sat 10/8,Kentucky,1601664,17030
21,Sat 10/8,Louisiana,1457349,18102
22,Sat 10/8,Maine,291984,2611
23,Sat 10/8,Maryland,1254937,15423
24,Sat 10/8,Massachusetts,2060884,21771
25,Sat 10/8,Michigan,2849047,38767
26,Sat 10/8,Minnesota,1670765,13695
27,Sat 10/8,Mississippi,929079,12928
28,Sat 10/8,Missouri,1673325,21719
29,Sat 10/8,Montana,311995,3555
30,Sat 10/8,Nebraska,538494,4551
31,Sat 10/8,Nevada,848770,11521
32,Sat 10/8,New Hampshire,351929,2709
33,Sat 10/8,New Jersey,2755010,34779
34,Sat 10/8,New Mexico,620306,8597
35,Sat 10/8,New York,6141662,71257
36,Sat 10/8,North Carolina,3210837,26862
37,Sat 10/8,North Dakota,270288,2422
38,Sat 10/8,Northern Mariana Islands,13171,40
39,Sat 10/8,Ohio,3153743,39950
40,Sat 10/8,Oklahoma,1200650,14884
41,Sat 10/8,Oregon,899013,8590
42,Sat 10/8,Pennsylvania,3266934,47323
43,Sat 10/8,Puerto Rico,995948,5181
44,Sat 10/8,Rhode Island,427242,3674
45,Sat 10/8,South Carolina,1712281,18390
46,Sat 10/8,South Dakota,262213,3033
47,Sat 10/8,Tennessee,2285845,27627
48,Sat 10/8,Texas,7885190,91038
49,Sat 10/8,Utah,1040427,5028
50,Sat 10/8,Vermont,143049,728
51,Sat 10/8,Virgin Islands,23207,123
52,Sat 10/8,Virginia,2096696,21970
53,Sat 10/8,Washington,1822887,14431
54,Sat 10/8,West Virginia,602461,7450
55,Sat 10/8,Wisconsin,1873754,15303
56,Sat 10/8,Wyoming,177165,1899
57,Sun 10/9,Alabama,1526381,20473
58,Sun 10/9,Alaska,297176,1350
59,Sun 10/9,American Samoa,8244,34
60,Sun 10/9,Arizona,2275235,31406
61,Sun 10/9,Arkansas,954076,12301
62,Sun 10/9,California,11290889,96242
63,Sun 10/9,Colorado,1666305,13536
64,Sun 10/9,Connecticut,901180,11385
65,Sun 10/9,Delaware,309804,3112
66,Sun 10/9,District of Columbia,168678,1392
67,Sun 10/9,Florida,7129245,81661
68,Sun 10/9,Georgia,2825163,38808
69,Sun 10/9,Guam,59600,402
70,Sun 10/9,Hawaii,348570,1691
71,Sun 10/9,Idaho,497106,5190
72,Sun 10/9,Illinois,3780353,39777
73,Sun 10/9,Indiana,1925645,24748
74,Sun 10/9,Iowa,857944,10097
75,Sun 10/9,Kansas,880649,9590
76,Sun 10/9,Kentucky,1601761,17030
