id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Fri 1/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,-2.02,10.29,97,5,N,0,0,1002,72,1673042400,-32400
2,Alaska,Anchorage,2,Sat 1/7,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-3.03,15.08,94,6,N,0,0,1006,100,1673128800,-32400
3,Alaska,Anchorage,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,15.42,26.06,87,11,N,0,0,998,100,1673215200,-32400
4,Alaska,Anchorage,4,Mon 1/9,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,16.83,25.9,90,11,N,0,0,998,100,1673301600,-32400
5,Alaska,Anchorage,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,15.87,21.79,95,5,N,0,0,999,100,1673388000,-32400
6,Alaska,Fairbanks,1,Fri 1/6,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-9.45,1.26,99,2,N,0,0.1,1006,100,1673038800,-32400
7,Alaska,Fairbanks,2,Sat 1/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,-12.73,0.82,100,3,N,0,0,1015,61,1673125200,-32400
8,Alaska,Fairbanks,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,-7.38,7.39,94,4,N,0,0,1005,100,1673211600,-32400
9,Alaska,Fairbanks,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,-7.04,0.68,96,3,N,0,0,1002,63,1673298000,-32400
10,Alaska,Fairbanks,5,Tue 1/10,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,-10.3,-6.68,99,2,N,0,0,1005,12,1673384400,-32400
11,Alaska,Juneau,1,Fri 1/6,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,30.9,36.75,96,6,NE,0.82,10.82,1001,100,1673038800,-32400
12,Alaska,Juneau,2,Sat 1/7,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,34.45,39.67,83,8,NE,5.36,0.53,1003,99,1673125200,-32400
13,Alaska,Juneau,3,Sun 1/8,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,28.17,36.3,81,7,NE,0.42,0,1007,96,1673211600,-32400
14,Alaska,Juneau,4,Mon 1/9,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,22.55,28.62,72,7,NE,0,0,1007,2,1673298000,-32400
15,Alaska,Juneau,5,Tue 1/10,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,19.67,25.02,71,7,NE,0,0,1002,1,1673384400,-32400
16,Colorado,Denver/Boulder,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,25.47,43.2,62,10,SW,0,0,1010,100,1673031600,-25200
17,Colorado,Denver/Boulder,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,29.48,45.07,42,11,SW,0,0,1018,0,1673118000,-25200
18,Colorado,Denver/Boulder,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,30,50.52,29,12,W,0,0,1013,96,1673204400,-25200
19,Colorado,Denver/Boulder,4,Mon 1/9,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.89,42.96,36,20,W,0,0,1018,19,1673290800,-25200
20,Colorado,Denver/Boulder,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.31,50.36,41,10,SW,0,0,1010,88,1673377200,-25200
21,Colorado,Grand Junction,1,Fri 1/6,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,30.96,36.7,99,4,W,0,6.42,1021,100,1673031600,-25200
22,Colorado,Grand Junction,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.14,39.18,79,6,E,0,0,1028,9,1673118000,-25200
23,Colorado,Grand Junction,3,Sun 1/8,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,30.92,39.92,51,4,E,0,0,1023,47,1673204400,-25200
24,Colorado,Grand Junction,4,Mon 1/9,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.17,40.57,61,3,E,0,0,1026,8,1673290800,-25200
25,Colorado,Grand Junction,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.38,44.37,57,7,SE,0,0,1019,100,1673377200,-25200
26,Colorado,Pueblo,1,Fri 1/6,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.63,52.18,30,21,W,0,0,1008,0,1673031600,-25200
27,Colorado,Pueblo,2,Sat 1/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,31.96,47.77,33,6,SE,0,0,1020,1,1673118000,-25200
28,Colorado,Pueblo,3,Sun 1/8,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.84,54.3,20,12,W,0,0,1014,100,1673204400,-25200
29,Colorado,Pueblo,4,Mon 1/9,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.51,54.32,27,17,W,0,0,1015,1,1673290800,-25200
30,Colorado,Pueblo,5,Tue 1/10,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.53,51.49,31,8,SW,0,0,1015,80,1673377200,-25200
31,Illinois,Chicago,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.81,32.72,74,11,W,0,0,1022,92,1673024400,-21600
32,Illinois,Chicago,2,Sat 1/7,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,26.37,36.07,62,8,NE,0,0.14,1028,3,1673110800,-21600
33,Illinois,Chicago,3,Sun 1/8,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,30.16,37.26,74,6,NE,0,0.18,1021,99,1673197200,-21600
34,Illinois,Chicago,4,Mon 1/9,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,29.17,41.09,77,11,S,0,0,1017,44,1673283600,-21600
35,Illinois,Chicago,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,33.84,36.99,85,15,N,0,0,1017,100,1673370000,-21600
36,Illinois,Lincoln,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.19,37.6,60,9,W,0,0,1023,93,1673028000,-21600
37,Illinois,Lincoln,2,Sat 1/7,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,28.67,40.78,55,11,NE,1.8,0.16,1025,47,1673114400,-21600
38,Illinois,Lincoln,3,Sun 1/8,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,32.92,36.23,96,10,NE,0.7,0.51,1020,100,1673200800,-21600
39,Illinois,Lincoln,4,Mon 1/9,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.56,47.93,65,13,S,0,0,1017,1,1673287200,-21600
40,Illinois,Lincoln,5,Tue 1/10,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.94,41.18,87,14,N,0,0,1014,100,1673373600,-21600
41,Indiana,Indianapolis,1,Fri 1/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,31.71,39.31,63,11,SW,0,0,1023,98,1673024400,-18000
42,Indiana,Indianapolis,2,Sat 1/7,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,30.4,42.69,47,9,E,0,0,1027,28,1673110800,-18000
43,Indiana,Indianapolis,3,Sun 1/8,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.8,39.29,91,9,E,2.66,0,1018,100,1673197200,-18000
44,Indiana,Indianapolis,4,Mon 1/9,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,34.66,46.38,63,9,S,0,0,1019,58,1673283600,-18000
45,Indiana,Indianapolis,5,Tue 1/10,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.52,41.59,89,11,NE,4.04,0,1013,100,1673370000,-18000
