id,Name,Type,Vendor,Calories,Fat (g),Protein (g),Carbohydrate (g),Cholesterol (mg),Saturated Fats (g),Sodium (mg),Serving Weight 1 (g),200 Calorie Weight (g)
1,Kfc Biscuit,Biscuit,KFC,358.0,17.05,7.5,43.55,1.0,11.916,1070.0,49.0,55.866
2,McDonalds Bacon Egg & Cheese Biscuit,Biscuit,McDonalds,304.0,18.77,13.45,22.26,167.0,8.262,863.0,142.0,65.789
3,McDonalds Sausage Biscuit,Biscuit,McDonalds,376.0,25.4,9.62,27.2,29.0,10.659,875.0,117.0,53.191
4,McDonalds Sausage Biscuit With Egg,Biscuit,McDonalds,311.0,22.26,11.27,19.28,152.0,8.628,664.0,163.0,64.309
5,McDonalds Southern Style Chicken Biscuit,Biscuit,McDonalds,304.0,14.93,11.93,30.56,24.0,5.712,868.0,132.0,65.789
6,Bacon On Biscuit,Biscuit,Other,355.0,14.11,9.75,47.19,14.0,2.993,1037.0,93.0,56.338
7,Biscuit With Crispy Chicken Fillet,Biscuit,Other,300.0,14.93,11.93,30.56,24.0,5.712,868.0,132.0,66.667
8,Biscuit With Egg And Bacon,Biscuit,Other,305.0,20.73,11.33,19.06,235.0,5.3,844.0,150.0,65.574
9,Biscuit With Egg And Ham,Biscuit,Other,233.0,14.08,10.64,16.37,156.0,3.08,1093.0,182.0,85.837
10,Biscuit With Egg Cheese And Bacon,Biscuit,Other,301.0,17.48,12.01,24.44,166.0,5.893,816.0,145.0,66.445
11,Biscuit With Gravy,Biscuit,Other,215.0,12.3,5.9,20.33,16.0,3.276,440.0,221.0,93.023
12,Biscuit With Ham,Biscuit,Other,342.0,16.3,11.85,38.75,22.0,10.096,974.0,162.0,58.48
13,Biscuit With Sausage,Biscuit,Other,371.0,24.42,9.67,29.99,28.0,7.427,814.0,111.0,53.908
14,Egg And Cheese On Biscuit,Biscuit,Other,270.0,16.3,9.03,21.69,133.0,4.761,636.0,140.0,74.074
15,Egg And Steak On Biscuit,Biscuit,Other,284.0,12.85,10.82,31.07,73.0,2.654,763.0,179.0,70.423
16,Egg Cheese And Ham On Biscuit,Biscuit,Other,253.0,16.29,12.05,14.84,149.0,4.896,1042.0,174.0,79.051
17,Fast Food Biscuit,Biscuit,Other,370.0,18.92,7.08,42.82,2.0,11.803,979.0,55.0,54.054
18,Fast Foods Biscuit With Egg And Sausage,Biscuit,Other,312.0,20.77,11.13,21.05,161.0,6.449,672.0,162.0,64.103
19,Steak Sandwich Plain On Biscuit,Biscuit,Other,287.0,9.37,13.63,36.63,26.0,1.851,660.0,142.0,69.686
20,Popeyes Biscuit,Biscuit,Popeyes,401.0,23.71,6.0,40.95,2.0,11.515,745.0,60.0,49.875
21,Burger King French Toast Sticks,Bread,Burger King,349.0,17.74,6.0,41.21,0.0,3.989,428.0,21.0,57.307
22,Breadstick Soft Prepared With Garlic And Parmesan Cheese,Bread,Other,343.0,12.88,12.2,44.48,7.0,2.966,539.0,43.0,58.309
23,Breadsticks Soft From Fast Food / Restaurant,Bread,Other,342.0,12.85,12.18,44.39,7.0,2.96,615.0,26.0,58.48
24,French Toast Gluten Free,Bread,Other,261.0,11.9,7.85,30.55,160.0,3.398,308.0,65.0,76.628
25,French Toast Gluten Free From Frozen,Bread,Other,173.0,4.49,4.83,28.25,61.0,1.259,245.0,10.0,115.607
26,French Toast Nfs,Bread,Other,270.0,10.95,10.12,32.37,160.0,3.259,330.0,65.0,74.074
27,French Toast Plain,Bread,Other,270.0,10.95,10.12,32.37,160.0,3.259,330.0,65.0,74.074
28,French Toast Plain From Fast Food / Restaurant,Bread,Other,306.0,13.74,9.54,35.78,132.0,4.938,391.0,85.0,65.359
29,French Toast Plain From Frozen,Bread,Other,181.0,3.58,6.98,29.98,61.0,1.127,266.0,10.0,110.497
30,French Toast Plain Reduced Fat,Bread,Other,237.0,6.22,10.64,34.05,164.0,1.913,327.0,65.0,84.388
31,French Toast Sticks,Bread,Other,340.0,17.74,6.0,41.21,0.0,3.989,400.0,65.0,58.824
32,French Toast Sticks Nfs,Bread,Other,283.0,9.6,7.06,41.92,18.0,1.349,494.0,25.0,70.671
33,French Toast Sticks Plain From Fast Food / Restaurant,Bread,Other,400.0,20.87,7.06,48.48,0.0,4.693,471.0,25.0,50.0
34,French Toast Sticks Plain From Frozen,Bread,Other,283.0,9.6,7.06,41.92,18.0,1.349,494.0,45.0,70.671
35,French Toast Sticks Whole Grain,Bread,Other,269.0,11.26,11.43,30.3,160.0,3.268,317.0,45.0,74.349
36,French Toast Whole Grain,Bread,Other,269.0,11.26,11.43,30.3,160.0,3.268,317.0,65.0,74.349
37,French Toast Whole Grain From Fast Food / Restaurant,Bread,Other,304.0,14.11,11.05,33.39,132.0,4.948,376.0,85.0,65.789
38,French Toast Whole Grain From Frozen,Bread,Other,180.0,3.88,8.21,28.02,61.0,1.135,254.0,10.0,111.111
39,French Toast Whole Grain Reduced Fat,Bread,Other,236.0,6.55,12.01,31.88,164.0,1.922,313.0,65.0,84.746
40,Fried Bread Puerto Rican Style,Bread,Other,257.0,8.19,5.01,41.83,56.0,1.653,277.0,110.0,77.821
41,Garlic Bread From Fast Food / Restaurant,Bread,Other,349.0,16.58,8.34,41.64,0.0,5.27,620.0,37.0,57.307
42,Pizza Hut Breadstick Parmesan Garlic,Bread,Pizza Hut,343.0,12.88,12.2,44.48,7.0,2.966,539.0,43.0,58.309
43,French Toast From School Nfs,Bread,School Lunch,160.0,3.69,9.25,22.37,69.0,1.084,261.0,10.0,125.0
44,French Toast Sticks From School Nfs,Bread,School Lunch,160.0,3.69,9.25,22.37,69.0,1.084,261.0,25.0,125.0
45,McDonalds Egg Mcmuffin,Breakfast Sandwich,McDonalds,228.0,9.66,13.64,21.67,165.0,3.592,617.0,126.0,87.719
46,McDonalds Sausage Egg & Cheese Mcgriddles,Breakfast Sandwich,McDonalds,283.0,17.73,10.77,22.04,132.0,5.649,652.0,199.0,70.671
47,McDonalds Sausage Mcgriddles,Breakfast Sandwich,McDonalds,312.0,17.76,8.41,31.25,24.0,5.435,737.0,135.0,64.103
48,Bagel With Breakfast Steak Egg Cheese And Condiments,Breakfast Sandwich,Other,282.0,14.07,15.95,22.99,130.0,5.419,642.0,254.0,70.922
49,Bagel With Egg Sausage Patty Cheese And Condiments,Breakfast Sandwich,Other,295.0,16.97,12.98,22.64,133.0,6.396,550.0,219.0,67.797
50,Egg Cheese And Bacon On Bagel,Breakfast Sandwich,Other,240.0,10.93,12.96,21.79,131.0,4.231,530.0,246.0,83.333
51,Egg Cheese And Ham On Bagel,Breakfast Sandwich,Other,261.0,14.38,12.86,19.47,90.0,4.062,754.0,218.0,76.628
52,Egg Cheese And Sausage On Bun,Breakfast Sandwich,Other,271.0,16.01,13.67,17.38,162.0,5.459,666.0,148.0,73.801
53,Egg Cheese Ham And Bacon On Bun,Breakfast Sandwich,Other,261.0,13.93,15.01,17.92,147.0,5.331,771.0,226.0,76.628
54,Egg Extra Cheese And Extra Sausage On Bun,Breakfast Sandwich,Other,274.0,17.68,14.32,14.04,105.0,6.209,648.0,213.0,72.993
55,Egg Cheese And Beef On English Muffin,Breakfast Sandwich,Other,274.0,16.07,14.32,17.8,115.0,5.949,603.0,147.0,72.993
56,English Muffin With Cheese And Sausage,Breakfast Sandwich,Other,338.0,20.67,13.28,25.28,43.0,8.152,668.0,108.0,59.172
