id,season,number,production_code,episode_title,guest_star,role
1,1.0,002–102,7G02,Bart the Genius,Marcia Wallace,Edna Krabappel;  Ms. Melon
2,1.0,003–103,7G03,Homer's Odyssey,Sam McMurray,Worker
3,1.0,003–103,7G03,Homer's Odyssey,Marcia Wallace,Edna Krabappel
4,1.0,006–106,7G06,Moaning Lisa,Miriam Flynn,Ms. Barr
5,1.0,006–106,7G06,Moaning Lisa,Ron Taylor,Bleeding Gums Murphy
6,1.0,007–107,7G09,The Call of the Simpsons,Albert Brooks,Cowboy Bob
7,1.0,008–108,7G07,The Telltale Head,Marcia Wallace,Edna Krabappel
8,1.0,009–109,7G11,Life on the Fast Lane,Albert Brooks,Jacques
9,1.0,010–110,7G10,Homer's Night Out,Sam McMurray,Gulliver Dark
10,1.0,011–111,7G13,The Crepes of Wrath,Christian Coffinet,Gendarme Officer
11,1.0,012–112,7G12,Krusty Gets Busted,Kelsey Grammer,Sideshow Bob
12,1.0,013–113,7G01,Some Enchanted Evening,June Foray,Babysitter service receptionist; Doofy the Elf
13,1.0,013–113,7G01,Some Enchanted Evening,Penny Marshall,Ms. Botz; Lucille Botzcowski
14,1.0,013–113,7G01,Some Enchanted Evening,Paul Willson,Florist
15,2.0,014–201,7F03,"Bart Gets an ""F""",Marcia Wallace,Edna Krabappel
16,2.0,015–202,7F02,Simpson and Delilah,Harvey Fierstein,Karl
17,2.0,016–203,7F04,Treehouse of Horror,James Earl Jones,Removal man; Serak the Preparer; Narrator
18,2.0,018–205,7F05,Dancin' Homer,Tony Bennett,Himself
19,2.0,018–205,7F05,Dancin' Homer,Daryl Coley,Bleeding Gums Murphy
20,2.0,018–205,7F05,Dancin' Homer,Ken Levine,Dan Horde
21,2.0,018–205,7F05,Dancin' Homer,Tom Poston,Capital City Goofball
22,2.0,020–207,7F07,Bart vs. Thanksgiving,Greg Berg,"Rory; Eddie; Radio voice; ""Hooray for Everything"" Announcer; Security Man"
23,2.0,020–207,7F07,Bart vs. Thanksgiving,Carol Kane,Maggie Simpson
24,2.0,022–209,7F09,Itchy & Scratchy & Marge,Alex Rocco,Roger Meyers Jr.
25,2.0,023–210,7F10,Bart Gets Hit by a Car,Phil Hartman,Lionel Hutz; Heaven
26,2.0,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Larry King,Himself
27,2.0,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Joey Miyashima,Toshiro
28,2.0,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Sab Shimono,Master Sushi Chef
29,2.0,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",George Takei,Akira
30,2.0,024–211,7F11,"One Fish, Two Fish, Blowfish, Blue Fish",Diana Tanaka,Hostess
31,2.0,025–212,7F12,The Way We Was,Jon Lovitz,Artie Ziff; Mr. Seckofsky
