id,University,Team nickname,City,State,Enrollment,Current conference
1,Air Force,Falcons,Colorado Springs,Colorado,4237.0,Mountain West
2,Akron,Zips,Akron,Ohio,19200.0,MAC
3,Alabama,Crimson Tide,Tuscaloosa,Alabama,38500.0,SEC
4,Appalachian State,Mountaineers,Boone,North Carolina,19100.0,Sun Belt
5,Arizona,Wildcats,Tucson,Arizona,45200.0,Pac-12
6,Arizona State,Sun Devils,Tempe,Arizona,51800.0,Pac-12
7,Arkansas,Razorbacks,Fayetteville,Arkansas,27800.0,SEC
8,Arkansas State,Red Wolves,Jonesboro,Arkansas,22000.0,Sun Belt
9,Army,Black Knights,West Point,New York,4300.0,Independent
10,Auburn,Tigers,Auburn,Alabama,30400.0,SEC
11,Ball State,Cardinals,Muncie,Indiana,22500.0,MAC
12,Baylor,Bears,Waco,Texas,17200.0,Big 12
13,Boise State,Broncos,Boise,Idaho,25500.0,Mountain West
14,Boston College,Eagles,Chestnut Hill,Massachusetts,14700.0,ACC
15,Bowling Green,Falcons,Bowling Green,Ohio,23000.0,MAC
16,Buffalo,Bulls,Buffalo,New York,31500.0,MAC
17,BYU,Cougars,Provo,Utah,33600.0,Independent
18,California,Golden Bears,Berkeley,California,42500.0,Pac-12
19,Central Michigan,Chippewas,Mount Pleasant,Michigan,21700.0,MAC
20,Charlotte,49ers,Charlotte,North Carolina,29700.0,C-USA
21,Cincinnati,Bearcats,Cincinnati,Ohio,46000.0,American
22,Clemson,Tigers,Clemson,South Carolina,25000.0,ACC
23,Coastal Carolina,Chanticleers,Conway,South Carolina,10600.0,Sun Belt
24,Colorado,Buffaloes,Boulder,Colorado,33200.0,Pac-12
25,Colorado State,Rams,Fort Collins,Colorado,33800.0,Mountain West
26,Duke,Blue Devils,Durham,North Carolina,15900.0,ACC
27,East Carolina,Pirates,Greenville,North Carolina,29100.0,American
28,Eastern Michigan,Eagles,Ypsilanti,Michigan,20300.0,MAC
29,FIU,Panthers,Miami,Florida,56800.0,C-USA
30,Florida,Gators,Gainesville,Florida,56100.0,SEC
31,Florida Atlantic,Owls,Boca Raton,Florida,30800.0,C-USA
32,Florida State,Seminoles,Tallahassee,Florida,41900.0,ACC
33,Fresno State,Bulldogs,Fresno,California,25000.0,Mountain West
34,Georgia,Bulldogs,Athens,Georgia,38200.0,SEC
35,Georgia Southern,Eagles,Statesboro,Georgia,26400.0,Sun Belt
