id,Team,Location,Stadium,Capacity,Founded,Joined,Head coach
1,Angel City FC,"Los Angeles, California",Banc of California Stadium,22000.0,2020.0,2022.0,Freya Coombe
2,Chicago Red Stars,"Bridgeview, Illinois",SeatGeek Stadium,20000.0,2006.0,2013.0,Chris Petrucelli
3,Houston Dash,"Houston, Texas",PNC Stadium,7000.0,2013.0,2014.0,Sarah Lowdon
4,Kansas City Current[c],"Kansas City, Kansas",Children's Mercy Park,18467.0,2020.0,2021.0,Matt Potter
5,NJ/NY Gotham FC[d],"Harrison, New Jersey",Red Bull Arena,25000.0,2007.0,2013.0,Scott Parkinson
6,North Carolina Courage,"Cary, North Carolina",WakeMed Soccer Park,10000.0,2017.0,2017.0,Sean Nahas
7,OL Reign,"Seattle, Washington",Lumen Field,10000.0,2012.0,2013.0,Laura Harvey
8,Orlando Pride,"Orlando, Florida",Exploria Stadium,25500.0,2015.0,2016.0,Amanda Cromwell
9,Portland Thorns FC,"Portland, Oregon",Providence Park,25218.0,2012.0,2013.0,Rhian Wilkinson
10,Racing Louisville FC,"Louisville, Kentucky",Lynn Family Stadium,15304.0,2019.0,2021.0,Kim Björkegren
11,San Diego Wave FC,"San Diego, California",Torero StadiumSnapdragon Stadium[h],600035000.0,2021.0,2022.0,Casey Stoney
12,Washington Spirit,"Washington, D.C.",Audi FieldSegra Field[i],200005000.0,2012.0,2013.0,Kris Ward
