id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
1,Peak District Ultras,Millstone 100,Castleton,United Kingdom,166.9,4520.0,-4520.0,10.0
2,UTMB®,UTMB®,Chamonix,France,170.7,9930.0,-9930.0,11.0
3,Grand Raid des Pyrénées,Ultra Tour 160,vielle-Aure,France,167.0,9980.0,-9980.0,13.0
4,Persenk Ultra,PERSENK ULTRA,Asenovgrad,Bulgaria,164.0,7490.0,-7500.0,13.0
5,Runfire Salt Lake Ultra,100 Mile,ulukisla,Turkey,159.9,100.0,-100.0,12.0
6,Swiss Alps 100,160KM,Münster,Switzerland,159.9,9850.0,-9850.0,15.0
7,Salomon Rondane 100,Salomon Rondane 100,Folldal,Norway,163.8,5460.0,-5460.0,5.0
8,Ultra Trail des Sources,160KM,Spa,Belgium,163.9,4630.0,-4660.0,8.0
9,Québec Mega Trail (QMT),QMT-100-MILE,Beaupre,Canada,158.9,6410.0,-6240.0,13.0
10,Bunketorp Backyard Ultra Trail,BBUT - 24 loops,LINDOME,Sweden,163.7,3100.0,-3100.0,23.0
11,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,165.2,3130.0,-3170.0,13.0
12,Beacons 50 & Beacons 100,Beacons 100,Brecon,United Kingdom,164.8,7050.0,-7050.0,5.0
13,Iznik Ultra,160 K,Iznik,Turkey,149.4,2930.0,-3040.0,12.0
14,KAT100,KAT100miles,Fieberbrunn,Austria,173.9,9980.0,-9980.0,15.0
15,Alpindustria Elbrus Race,ElbrusWorldRace,Terskol,Russia,169.9,9010.0,-9010.0,0.0
16,Burning River Endurance Run,Burning River 100 Mile,Hudson,United States,163.7,2700.0,-2700.0,14.0
17,The Gax 100 miles,The Gax 100 miles,Ystad,Sweden,162.3,1510.0,-1510.0,3.0
18,Terres Monviso,100 Miglia Monviso,Saluzzo,Italy,168.8,8380.0,-8380.0,17.0
19,The Gax 100 miles,The Gax 100 miles Tuesday,Ystad,Sweden,162.3,1500.0,-1500.0,3.0
20,Tahoe Rim Trail Endurance Runs 100M/50M/55K,100 Mile,Carsoncity,United States,161.1,6170.0,-6160.0,7.0
21,Ultra Tour des 4 Massifs,Ut4M 160 Xtrem,Grenoble,France,179.1,11290.0,-11350.0,17.0
22,Ultra Tour des 4 Massifs,Ut4M 160 Challenge,Grenoble,France,173.1,11810.0,-11710.0,12.0
23,Brisbane Trail Ultra,Brisbane Trail Ultra 100 mile,Brisbane,Australia,160.5,7580.0,-7610.0,7.0
24,Centurion Wendover Woods 100,Wendover Woods 100,Wendover,United Kingdom,168.0,6610.0,-6600.0,19.0
25,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,163.2,8650.0,-8630.0,13.0
26,NUTS Ylläs Pallas,160K,Äkäslompolo,Finland,164.3,4020.0,-4100.0,8.0
27,ULTRA 01,Ultra 01 170 KM,Oyonnax,France,174.9,7590.0,-7590.0,15.0
28,Val d’Aran by UTMB®,VDA,Vielha,Spain,162.9,10690.0,-10690.0,14.0
29,Austria Backyard Ultra,24 LOOPS,Frankenmarkt,Austria,160.7,2570.0,-2570.0,24.0
30,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.0,5850.0,-7360.0,20.0
31,Jurassic Coast 100,Jurassic Coast 100M,Swanage,United Kingdom,168.2,4740.0,-4680.0,9.0
32,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,Loudonville,United States,158.9,3700.0,-3700.0,19.0
33,Ultra Trail Gaspesia 100,100 miles,Percé,Canada,159.0,4130.0,-4130.0,21.0
34,MARATON VIA TRANSILVANICA,VIA TRANSILVANICA ULTRAMARATON,PiatraFântânele,Romania,161.8,5410.0,-4950.0,8.0
35,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,159.2,7330.0,-7330.0,9.0
36,Oh Meu Deus,OH MEU DEUS 160 TEAM,Seia,Portugal,159.2,7330.0,-7330.0,9.0
37,Salomon Hengill Ultra-Trail ©,100miles,Hveragerdi,Iceland,161.7,5530.0,-5550.0,10.0
38,The Arctic Triple Lofoten Ultra-Trail®,100 Miles,SVOLVÆR,Norway,165.0,7046.0,-7047.0,10.0
39,TransPenedaGerês,TPG 168k Race of the 4 Castles,Melgaço,Portugal,166.2,9360.0,-8540.0,6.0
40,Chester Ultra 50,Chester Ultra 100,chester,United Kingdom,167.0,1540.0,-1550.0,10.0
41,Grand Trail Des Lacs Et Chateaux (GTLC),GT160,Waimes,Belgium,165.3,6200.0,-6200.0,0.0
42,WHW & Ben Nevis Race,WHW & Ben Nevis Race,FortWilliam,United Kingdom,165.4,5110.0,-5080.0,9.0
43,Bryce Canyon,Bryce Canyon 100 Mile,Hatch,United States,157.1,4310.0,-4310.0,15.0
44,Festiwal Biegowy ULTRA WAY,PORANEK NA PLAZY 160 km+,Rumia,Poland,163.3,3020.0,-3030.0,7.0
45,NUTS Karhunkierros,166K,Kuusamo,Finland,169.6,3910.0,-3940.0,7.0
46,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,163.0,4230.0,-4310.0,6.0
47,Mac Mac Ultra,100m,Pretoria,South Africa,156.8,6300.0,-6540.0,14.0
48,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,171.8,8640.0,-8640.0,8.0
49,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,169.2,4060.0,-4060.0,9.0
50,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.3,3210.0,-3160.0,13.0
51,Hubert 100,Hubert 100M,Hawker,Australia,157.7,2430.0,-2430.0,8.0
52,The Dales High Way,Dales High Way + High Cup Nick,Saltaire,United Kingdom,166.2,4430.0,-4380.0,8.0
53,Gulag-100,Gulag-100,Litochoro,Greece,167.1,14260.0,-14260.0,4.0
54,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,164.5,6610.0,-6620.0,8.0
55,Bó Trail,Bó Trail 170K,yibin,China,161.7,8440.0,-8440.0,13.0
56,Yarikan100,Yarikan100,Ishikawa,Japan,164.7,8700.0,-8700.0,22.0
57,Sengenyama 100,4th Sengenyama 100 (mile),Hayama,Japan,166.4,6110.0,-6110.0,8.0
58,Mt. Fuji 100 Mile Challenge,100 mile,Fuji,Japan,161.9,7340.0,-7380.0,4.0
59,Tamba 100 Adventure Trail,Tamba 100 Adventure Trail,Tamba,Japan,162.7,9200.0,-9200.0,13.0
60,Ultra-Trail® Drakensberg,UTD 160,Underberg,South Africa,171.6,5160.0,-6500.0,12.0
61,Jiangnan 100 Mile,100Mile,Ningbo,China,161.0,7060.0,-7060.0,13.0
62,Zion,Zion 100,Virgin,United States,160.8,2830.0,-2880.0,15.0
63,Patagonia Run,100 Miles,SanMartinDeLosAndes,Argentina,163.7,8140.0,-8140.0,15.0
