id,Position,Track Name,Artist,Popularity
1,1,Kill Bill,SZA,91
2,2,Unholy (feat. Kim Petras),Sam Smith,100
3,3,As It Was,Harry Styles,93
4,4,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96
5,5,I'm Good (Blue),David Guetta,98
6,6,La Bachata,Manuel Turizo,98
7,7,Anti-Hero,Taylor Swift,97
8,8,La Jumpa,Arcángel,87
9,9,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,97
10,10,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,93
11,11,Ditto,NewJeans,91
12,12,Calm Down (with Selena Gomez),Rema,95
13,13,Made You Look,Meghan Trainor,95
14,14,Another Love,Tom Odell,67
15,15,Rich Flex,Drake,96
16,16,I Ain't Worried,OneRepublic,95
17,17,Escapism.,RAYE,79
18,18,Hey Mor,Ozuna,92
19,19,golden hour,JVKE,91
20,20,LET GO,Central Cee,92
21,21,Die For You,The Weeknd,89
22,22,Me Porto Bonito,Bad Bunny,96
23,23,Gato de Noche,Ñengo Flow,90
24,24,Here With Me,d4vd,94
25,25,Mockingbird,Eminem,93
26,26,Miss You,Oliver Tree,95
27,27,Under The Influence,Chris Brown,95
28,28,OMG,NewJeans,81
29,29,I Wanna Be Yours,Arctic Monkeys,94
30,30,Romantic Homicide,d4vd,94
31,31,Bad Habit,Steve Lacy,88
32,32,Sweater Weather,The Neighbourhood,93
33,33,SNAP,Rosa Linn,48
34,34,Maan Meri Jaan,King,90
35,35,Efecto,Bad Bunny,94
36,36,Bloody Mary,Lady Gaga,82
37,37,DESPECHÁ,ROSALÍA,87
38,38,Ojitos Lindos,Bad Bunny,94
39,39,Just Wanna Rock,Lil Uzi Vert,92
40,40,Nobody Gets Me,SZA,92
41,41,Heat Waves,Glass Animals,88
42,42,CUFF IT,Beyoncé,93
43,43,Feliz Cumpleaños Ferxxo,Feid,88
44,44,Bones,Imagine Dragons,86
45,45,STAY (with Justin Bieber),The Kid LAROI,87
46,46,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,90
47,47,Sure Thing,Miguel,89
48,48,Starboy,The Weeknd,92
49,49,Blinding Lights,The Weeknd,92
