id,title,playstation,xbox,nintendo,pc,other,score,genre,editors_choice,release_year,release_month
1,A Way Out,TRUE,TRUE,FALSE,TRUE,FALSE,8.3,Action-Adventure,N,2018.0,3.0
2,Adventure Time: Pirates of the Enchiridion,TRUE,TRUE,TRUE,TRUE,FALSE,5.8,Action-RPG,N,2018.0,7.0
3,Agony,TRUE,TRUE,TRUE,TRUE,FALSE,4.0,Survival,N,2018.0,5.0
4,Ancestors Legacy,FALSE,FALSE,FALSE,TRUE,FALSE,7.7,Strategy,N,2018.0,5.0
5,AO Tennis,TRUE,TRUE,FALSE,TRUE,TRUE,4.5,Sports,N,2018.0,1.0
6,Artifact,FALSE,FALSE,FALSE,TRUE,TRUE,8.5,Strategy,N,2018.0,12.0
7,Ashen,FALSE,TRUE,FALSE,TRUE,FALSE,8.5,Action-RPG,N,2018.0,12.0
8,Assassin's Creed Odyssey,TRUE,TRUE,FALSE,TRUE,FALSE,9.2,Action-Adventure,Y,2018.0,10.0
9,Assassin's Creed Odyssey - Legacy of the First Blade: Hunted DLC,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Action-Adventure,N,2018.0,12.0
10,Assassin's Creed Origins: The Curse of the Pharaohs DLC,TRUE,TRUE,FALSE,TRUE,FALSE,8.8,Action-Adventure,N,2018.0,3.0
11,Assassin's Creed Origins: The Hidden Ones DLC,TRUE,TRUE,FALSE,TRUE,FALSE,8.4,Action-Adventure,N,2018.0,2.0
12,Assassin's Creed Rogue Remastered,TRUE,TRUE,FALSE,FALSE,FALSE,6.0,Action-Adventure,N,2018.0,3.0
13,Astro Bot Rescue Mission,TRUE,FALSE,FALSE,FALSE,FALSE,9.0,Platformer,Y,2018.0,10.0
14,Attack on Titan 2,TRUE,TRUE,TRUE,TRUE,FALSE,7.0,Action,N,2018.0,3.0
15,Batman: The Enemy Within - Episode 4,TRUE,TRUE,FALSE,TRUE,TRUE,7.5,Adventure,N,2018.0,1.0
16,Batman: The Enemy Within - Episode 5,TRUE,TRUE,FALSE,TRUE,TRUE,7.9,Adventure,N,2018.0,3.0
17,Battlefield 1: Apocalypse DLC,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Shooter,N,2018.0,2.0
18,Battlefield V (Multiplayer),FALSE,FALSE,FALSE,TRUE,FALSE,7.5,Shooter,N,2018.0,11.0
19,Battlefield V (Single Player),FALSE,FALSE,FALSE,TRUE,FALSE,7.3,Shooter,N,2018.0,11.0
20,Battlerite,FALSE,FALSE,FALSE,TRUE,FALSE,8.2,Action,N,2018.0,1.0
21,Battlerite Royale,FALSE,FALSE,FALSE,TRUE,FALSE,8.0,Survival,N,2018.0,10.0
22,BattleTech,FALSE,FALSE,FALSE,TRUE,TRUE,7.0,Strategy,N,2018.0,4.0
23,Below,FALSE,TRUE,FALSE,TRUE,FALSE,6.9,Action-Adventure,N,2018.0,12.0
24,BlazBlue Cross Tag Battle,TRUE,FALSE,TRUE,TRUE,FALSE,8.3,Fighting,N,2018.0,6.0
25,Bloodstained: Curse of the Moon,TRUE,TRUE,TRUE,TRUE,FALSE,8.2,Platformer,N,2018.0,5.0
26,Borderlands 2 VR,TRUE,FALSE,FALSE,FALSE,FALSE,6.8,Action-RPG,N,2018.0,12.0
27,Call of Cthulhu,TRUE,TRUE,FALSE,TRUE,FALSE,8.6,RPG,N,2018.0,10.0
28,Call of Duty WWII - United Front DLC,TRUE,TRUE,FALSE,TRUE,FALSE,6.5,Shooter,N,2018.0,6.0
29,Call of Duty: Black Ops 4,TRUE,TRUE,FALSE,TRUE,FALSE,8.5,Shooter,N,2018.0,10.0
30,Call of Duty: Black Ops 4 - Blackout,TRUE,TRUE,FALSE,TRUE,FALSE,9.0,Shooter,Y,2018.0,10.0
31,Call of Duty: Black Ops 4 - Multiplayer,TRUE,TRUE,FALSE,TRUE,FALSE,7.8,Shooter,N,2018.0,10.0
32,Call of Duty: Black Ops 4 - Zombies,TRUE,TRUE,FALSE,TRUE,FALSE,8.5,Shooter,N,2018.0,10.0
33,Call of Duty: WWII - The Resistance DLC,TRUE,TRUE,FALSE,TRUE,FALSE,7.7,Shooter,N,2018.0,2.0
34,Call of Duty: WWII - The War Machine,TRUE,TRUE,FALSE,TRUE,FALSE,7.1,Shooter,N,2018.0,4.0
35,Captain Toad: Treasure Tracker (3DS),FALSE,FALSE,TRUE,FALSE,FALSE,8.7,Puzzle,N,2018.0,7.0
36,Celeste,TRUE,TRUE,TRUE,TRUE,TRUE,10.0,Platformer,Y,2018.0,1.0
37,Chasm,TRUE,TRUE,TRUE,TRUE,TRUE,7.0,Action-Adventure,N,2018.0,7.0
38,City of Brass,TRUE,TRUE,FALSE,TRUE,FALSE,4.0,Adventure,N,2018.0,5.0
39,Civilization 6: Rise and Fall,FALSE,FALSE,FALSE,TRUE,TRUE,7.8,Strategy,N,2018.0,2.0
40,Conan Exiles,TRUE,TRUE,FALSE,TRUE,FALSE,6.7,Survival,N,2018.0,5.0
41,Crisis on the Planet of the Apes VR,TRUE,FALSE,FALSE,FALSE,FALSE,3.0,Shooter,N,2018.0,4.0
42,Danger Zone 2,TRUE,TRUE,FALSE,TRUE,FALSE,8.2,Racing,N,2018.0,7.0
43,Dark Souls Remastered (Switch),FALSE,FALSE,TRUE,FALSE,FALSE,9.5,Action-RPG,Y,2018.0,10.0
44,Darksiders III,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Action-Adventure,N,2018.0,11.0
45,Dead Cells,TRUE,TRUE,TRUE,TRUE,TRUE,9.5,Action-Adventure,Y,2018.0,8.0
46,Death's Gambit,TRUE,FALSE,FALSE,TRUE,FALSE,6.7,Platformer,N,2018.0,8.0
47,Deracine,TRUE,FALSE,FALSE,FALSE,FALSE,7.8,Adventure,N,2018.0,11.0
48,Destiny 2: Black Armory,TRUE,TRUE,FALSE,TRUE,FALSE,5.5,Shooter,N,2018.0,12.0
49,Destiny 2: Forsaken,TRUE,TRUE,FALSE,TRUE,FALSE,9.0,Shooter,Y,2018.0,9.0
50,Destiny 2: Warmind,TRUE,TRUE,FALSE,TRUE,FALSE,6.0,Shooter,N,2018.0,5.0
51,Detective Pikachu,FALSE,FALSE,TRUE,FALSE,FALSE,8.2,Adventure,N,2018.0,3.0
52,Detroit: Become Human,TRUE,FALSE,FALSE,FALSE,FALSE,8.0,Adventure,N,2018.0,5.0
53,Diablo 3 (Switch),FALSE,FALSE,TRUE,FALSE,FALSE,9.0,Action-RPG,Y,2018.0,10.0
54,Dissidia Final Fantasy NT,TRUE,FALSE,FALSE,FALSE,TRUE,6.9,Action-RPG,N,2018.0,1.0
55,Donut County,TRUE,TRUE,TRUE,TRUE,TRUE,7.8,Puzzle,N,2018.0,8.0
56,Dragon Ball FighterZ,TRUE,TRUE,TRUE,TRUE,FALSE,8.5,Fighting,N,2018.0,1.0
57,Dragon Quest XI: Echoes of an Elusive Age,TRUE,FALSE,TRUE,TRUE,FALSE,8.8,RPG,N,2018.0,8.0
58,Dynasty Warriors 9,TRUE,TRUE,FALSE,TRUE,FALSE,5.8,Action,N,2018.0,2.0
59,EA Sports UFC 3,TRUE,TRUE,FALSE,FALSE,FALSE,7.5,Fighting,N,2018.0,1.0
60,Earth Defense Force 5,TRUE,FALSE,FALSE,FALSE,FALSE,8.3,Shooter,N,2018.0,12.0
61,Earthfall,FALSE,FALSE,FALSE,TRUE,FALSE,5.5,Shooter,N,2018.0,7.0
62,Extinction,TRUE,TRUE,FALSE,TRUE,FALSE,6.6,Action,N,2018.0,4.0
63,F1 2018,TRUE,TRUE,FALSE,TRUE,TRUE,8.5,Racing,N,2018.0,8.0
64,Fable Fortune,FALSE,TRUE,FALSE,TRUE,FALSE,7.0,Strategy,N,2018.0,2.0
65,Fallout 76,TRUE,TRUE,FALSE,TRUE,FALSE,5.0,Action-RPG,N,2018.0,11.0
66,Far Cry 5,TRUE,TRUE,FALSE,TRUE,FALSE,8.9,Shooter,N,2018.0,3.0
67,Far Cry 5: Dead Living Zombies DLC,TRUE,TRUE,FALSE,TRUE,FALSE,6.8,Shooter,N,2018.0,8.0
68,Far Cry 5: Hours of Darkness DLC,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Shooter,N,2018.0,6.0
69,Far Cry 5: Lost on Mars DLC,TRUE,TRUE,FALSE,TRUE,FALSE,5.5,Shooter,N,2018.0,7.0
70,Fe,TRUE,TRUE,TRUE,TRUE,FALSE,6.5,Action-Adventure,N,2018.0,2.0
71,FIFA 19,TRUE,TRUE,FALSE,TRUE,FALSE,8.2,Sports,N,2018.0,9.0
72,FIFA 19 (Switch),FALSE,FALSE,TRUE,FALSE,FALSE,5.8,Sports,N,2018.0,9.0
73,Flipping Death,TRUE,TRUE,TRUE,FALSE,FALSE,8.0,Puzzle,N,2018.0,8.0
74,Forza Horizon 4: Fortune Island,FALSE,TRUE,FALSE,TRUE,FALSE,8.7,Racing,N,2018.0,12.0
75,Forza Horizons 4,FALSE,TRUE,FALSE,TRUE,FALSE,9.6,Racing,Y,2018.0,9.0
76,Frostpunk,FALSE,FALSE,FALSE,TRUE,FALSE,9.0,Survival,Y,2018.0,4.0
77,Frozen Synapse 2,FALSE,FALSE,FALSE,TRUE,TRUE,7.9,Strategy,N,2018.0,9.0
78,God of War,TRUE,FALSE,FALSE,FALSE,FALSE,10.0,Action-Adventure,Y,2018.0,4.0
79,Gravel,TRUE,TRUE,FALSE,TRUE,FALSE,5.9,Racing,N,2018.0,2.0
80,Gris,FALSE,FALSE,TRUE,TRUE,FALSE,6.5,Platformer,N,2018.0,12.0
81,Guacamelee! 2,TRUE,TRUE,TRUE,TRUE,FALSE,9.3,Action-Adventure,Y,2018.0,8.0
82,H1Z1,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Survival,N,2018.0,2.0
83,Hades,FALSE,FALSE,FALSE,TRUE,FALSE,8.8,Action-RPG,N,2018.0,12.0
84,Halo: Fireteam Raven,FALSE,FALSE,FALSE,FALSE,TRUE,7.3,Shooter,N,2018.0,7.0
85,Harry Potter: Hogwarts Mystery,FALSE,FALSE,FALSE,FALSE,TRUE,3.5,RPG,N,2018.0,4.0
86,Heroes of the Storm 2.0,FALSE,FALSE,FALSE,TRUE,TRUE,8.0,Strategy,N,2018.0,4.0
87,Hitman 2,TRUE,TRUE,FALSE,TRUE,FALSE,7.7,Stealth,N,2018.0,11.0
88,Hollow Knight,TRUE,TRUE,TRUE,TRUE,TRUE,9.4,Action-Adventure,Y,2018.0,6.0
89,Hyrule Warriors Definitive Edition,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Action,N,2018.0,5.0
90,Iconoclasts,TRUE,FALSE,TRUE,TRUE,TRUE,8.4,Platformer,N,2018.0,1.0
91,Injustice 2: Teenage Mutant Ninja Turtles DLC,TRUE,TRUE,FALSE,TRUE,TRUE,8.8,Fighting,N,2018.0,2.0
92,InnerSpace,TRUE,TRUE,TRUE,TRUE,FALSE,6.0,Adventure,N,2018.0,8.0
93,Insurgency: Sandstorm,TRUE,TRUE,FALSE,TRUE,FALSE,8.8,Shooter,N,2018.0,12.0
94,Into the Breach,FALSE,FALSE,TRUE,TRUE,TRUE,9.0,Strategy,Y,2018.0,2.0
95,Jurassic World Evolution,TRUE,TRUE,FALSE,TRUE,FALSE,4.8,Simulation,N,2018.0,6.0
96,Just Cause 4,TRUE,TRUE,FALSE,TRUE,FALSE,7.9,Action,N,2018.0,12.0
97,Katamari Damacy Reroll,FALSE,FALSE,TRUE,TRUE,FALSE,8.8,Puzzle,Y,2018.0,12.0
98,Killing Floor: Incursion,TRUE,FALSE,FALSE,FALSE,FALSE,8.0,Shooter,N,2018.0,5.0
99,Kingdom Come: Deliverance,TRUE,TRUE,FALSE,TRUE,FALSE,8.0,Action-RPG,N,2018.0,2.0
100,Kirby Star Allies,FALSE,FALSE,TRUE,FALSE,FALSE,8.3,Platformer,N,2018.0,3.0
101,Last Year: The Nightmare,FALSE,FALSE,FALSE,TRUE,FALSE,7.3,Survival,N,2018.0,12.0
102,LEGO DC Super-Villians,TRUE,TRUE,TRUE,TRUE,FALSE,7.8,Action-Adventure,N,2018.0,10.0
103,Life is Strange 2 - Episode 1,TRUE,TRUE,FALSE,TRUE,FALSE,7.7,Adventure,N,2018.0,9.0
104,Little Dragons Cafe,FALSE,FALSE,TRUE,FALSE,FALSE,6.4,Simulator,N,2018.0,8.0
105,Lost Sphear,TRUE,FALSE,TRUE,TRUE,FALSE,6.7,RPG,N,2018.0,1.0
106,Luigi's Mansion,FALSE,FALSE,TRUE,FALSE,FALSE,7.0,Action-Adventure,N,2018.0,10.0
107,Madden NFL 19,TRUE,TRUE,FALSE,TRUE,FALSE,8.9,Sports,N,2018.0,8.0
108,Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,FALSE,FALSE,TRUE,FALSE,FALSE,8.0,Action-RPG,N,2018.0,6.0
109,Mario Tennis Aces,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,Sports,N,2018.0,6.0
110,Marvel Powers United VR,FALSE,FALSE,FALSE,TRUE,FALSE,6.7,Fighting,N,2018.0,7.0
111,Marvel's Spider-Man,TRUE,FALSE,FALSE,FALSE,FALSE,8.7,Action-Adventure,N,2018.0,9.0
112,Marvel's Spider-Man - Silver Lining DLC,TRUE,FALSE,FALSE,FALSE,FALSE,8.0,Action-Adventure,N,2018.0,12.0
113,Marvel's Spider-Man - The Heist DLC,TRUE,FALSE,FALSE,FALSE,FALSE,7.8,Action-Adventure,N,2018.0,10.0
114,Marvel's Spider-Man - Turf Wars DLC,TRUE,FALSE,FALSE,FALSE,FALSE,7.0,Action-Adventure,N,2018.0,11.0
115,Mega Man 11,TRUE,TRUE,TRUE,TRUE,FALSE,7.5,Platformer,N,2018.0,10.0
116,Mega Man X Legacy Collection 1,TRUE,TRUE,TRUE,TRUE,FALSE,9.0,Action,Y,2018.0,7.0
117,Mega Man X Legacy Collection 2,TRUE,TRUE,TRUE,TRUE,FALSE,6.0,Action,N,2018.0,7.0
118,Metal Gear Survive,TRUE,TRUE,FALSE,TRUE,FALSE,6.5,Survival,N,2018.0,2.0
119,MLB The Show 18,TRUE,FALSE,FALSE,FALSE,FALSE,8.5,Sports,N,2018.0,3.0
120,Monster Hunter Generations Ultimate,FALSE,FALSE,TRUE,FALSE,FALSE,8.3,Action-RPG,N,2018.0,8.0
121,Monster Hunter: World,TRUE,TRUE,FALSE,TRUE,FALSE,9.5,Action-RPG,Y,2018.0,1.0
122,Moss,TRUE,FALSE,FALSE,TRUE,FALSE,8.4,Adventure,N,2018.0,2.0
123,Mutant Year Zero: Road to Eden,TRUE,TRUE,FALSE,TRUE,FALSE,7.9,RPG,N,2018.0,12.0
124,My Hero One's Justice,TRUE,TRUE,TRUE,TRUE,FALSE,7.0,Fighting,N,2018.0,10.0
125,NBA 2K Playgrounds 2,TRUE,TRUE,TRUE,TRUE,FALSE,8.0,Sports,N,2018.0,10.0
126,NBA 2K19,TRUE,TRUE,TRUE,TRUE,FALSE,8.5,Sports,N,2018.0,9.0
127,NBA Live 19,TRUE,TRUE,FALSE,FALSE,FALSE,7.9,Sports,N,2018.0,9.0
128,NHL 19,TRUE,TRUE,FALSE,FALSE,FALSE,8.9,Sports,N,2018.0,9.0
129,Ni No Kuni 2: Revenant Kingdom,TRUE,FALSE,FALSE,TRUE,FALSE,7.8,Action-RPG,N,2018.0,3.0
130,No Man's Sky NEXT,TRUE,TRUE,FALSE,TRUE,FALSE,7.0,Action-Adventure,N,2018.0,7.0
131,Octopath Traveler,FALSE,FALSE,TRUE,FALSE,FALSE,9.3,RPG,Y,2018.0,7.0
132,Onrush,TRUE,TRUE,FALSE,FALSE,FALSE,8.2,Action,N,2018.0,6.0
133,Overcooked 2,TRUE,TRUE,TRUE,TRUE,TRUE,8.5,Simulator,N,2018.0,8.0
134,Overkill's The Walking Dead,TRUE,TRUE,FALSE,TRUE,FALSE,5.3,Shooter,N,2018.0,11.0
135,Paladins: Champions of the Realm,TRUE,TRUE,TRUE,TRUE,FALSE,8.4,Shooter,N,2018.0,5.0
136,Past Cure,TRUE,TRUE,FALSE,TRUE,FALSE,5.8,Shooter,N,2018.0,3.0
137,Pathfinder: Kingmaker,FALSE,FALSE,FALSE,TRUE,FALSE,6.8,RPG,N,2018.0,10.0
