id,Rank,Country,Score,Electoral process and pluralism,Functio­ning of govern­ment,Political partici­pation,Political culture,Civil liberties,Regime type,Region
1,1.0,Norway,10.0,10.0,10.0,10.0,10.0,10.0,Full democracy,Western Europe
2,2.0,Iceland,10.0,10.0,9.0,9.0,10.0,10.0,Full democracy,Western Europe
3,3.0,Sweden,9.0,10.0,10.0,8.0,10.0,9.0,Full democracy,Western Europe
4,4.0,New Zealand,9.0,10.0,9.0,9.0,8.0,10.0,Full democracy,Asia & Australasia
5,5.0,Finland,9.0,10.0,9.0,9.0,9.0,10.0,Full democracy,Western Europe
6,6.0,Ireland,9.0,10.0,8.0,8.0,10.0,10.0,Full democracy,Western Europe
7,7.0,Denmark,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
8,7.0,Canada,9.0,10.0,10.0,8.0,9.0,10.0,Full democracy,North America
9,9.0,Australia,9.0,10.0,9.0,8.0,9.0,10.0,Full democracy,Asia & Australasia
10,10.0,Switzerland,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
11,11.0,Netherlands,9.0,10.0,9.0,8.0,9.0,9.0,Full democracy,Western Europe
12,12.0,Luxembourg,9.0,10.0,9.0,7.0,9.0,10.0,Full democracy,Western Europe
13,13.0,Germany,9.0,10.0,9.0,8.0,8.0,9.0,Full democracy,Western Europe
14,14.0,United Kingdom,9.0,10.0,8.0,9.0,8.0,9.0,Full democracy,Western Europe
15,15.0,Uruguay,8.0,10.0,9.0,6.0,8.0,10.0,Full democracy,Latin America
16,16.0,Austria,8.0,10.0,8.0,8.0,7.0,9.0,Full democracy,Western Europe
17,16.0,Spain,8.0,10.0,7.0,8.0,8.0,9.0,Full democracy,Western Europe
18,18.0,Mauritius,8.0,9.0,8.0,6.0,9.0,9.0,Full democracy,Sub-Saharan Africa
19,19.0,Costa Rica,8.0,10.0,8.0,7.0,8.0,9.0,Full democracy,Latin America
20,20.0,France,8.0,10.0,8.0,8.0,7.0,9.0,Full democracy,Western Europe
21,21.0,Chile,8.0,10.0,9.0,5.0,8.0,9.0,Full democracy,Latin America
22,22.0,Portugal,8.0,10.0,8.0,6.0,8.0,9.0,Full democracy,Western Europe
23,23.0,South Korea[n 2],8.0,9.0,8.0,7.0,8.0,8.0,Flawed democracy,Asia & Australasia
24,24.0,Japan,8.0,9.0,8.0,7.0,8.0,9.0,Flawed democracy,Asia & Australasia
25,25.0,United States,8.0,9.0,7.0,8.0,8.0,8.0,Flawed democracy,North America
26,26.0,Malta,8.0,9.0,8.0,6.0,8.0,9.0,Flawed democracy,Western Europe
27,27.0,Estonia,8.0,10.0,8.0,7.0,7.0,9.0,Flawed democracy,Eastern Europe
28,28.0,Israel,8.0,9.0,8.0,9.0,8.0,6.0,Flawed democracy,Middle East & North Africa
29,29.0,Botswana,8.0,9.0,7.0,6.0,8.0,9.0,Flawed democracy,Sub-Saharan Africa
30,30.0,Cape Verde,8.0,9.0,7.0,7.0,7.0,9.0,Flawed democracy,Sub-Saharan Africa
31,31.0,Taiwan,8.0,10.0,8.0,6.0,6.0,9.0,Flawed democracy,Asia & Australasia
32,32.0,Czech Republic,8.0,10.0,7.0,7.0,7.0,9.0,Flawed democracy,Eastern Europe
